state,land_area_sqmi,establishments_mean,mean_spending_2017,spending_per_estab,operations,h2a_workers,workers_per_operation,spending_per_operation,land_area_sqmi_z,establishments_mean_z,spending_per_estab_z,operations_z,h2a_workers_z,workers_per_operation_z,spending_per_operation_z
Rhode Island,1545,15.166666666666666,,,1043.0,0,0.0,,-0.7659367665956154,-0.8227099061235065,,-1.012409555559223,-0.5090527601948978,-0.6225158806875645,
South Carolina,32020,130.0,495839.24746982224,3814.148057460171,24791.0,3663,0.1477552337541849,20.000776389408344,-0.4519751399026101,-0.4103434882632279,-0.09998079953367697,-0.40834281103716025,0.04920201220939143,0.31455699171767565,0.00909769559174561
South Dakota,77116,244.66666666666666,425316.5372392249,1738.3509696426086,29968.0,538,0.017952482648158,14.19235642149042,0.012615951724880095,0.0014244297162664076,-0.248790193487236,-0.27665788866935165,-0.4270595667595968,-0.5086601203569211,-0.1119864761864147
Tennessee,42144,233.66666666666666,0.0,0.0,69983.0,624,0.0089164511381335,0.0,-0.3476749755501906,-0.03807656241548742,-0.37340880664035037,0.7411849099684426,-0.41395284810637023,-0.5659671935962344,-0.4078448563256563
Texas,268596,672.3333333333334,1207531.7957447232,1796.0314264919034,248416.0,2804,0.0112875177122246,4.860926010179389,1.9852942873828505,1.5371751238083924,-0.24465520655759715,5.279901493483063,-0.08171277061760406,-0.5509297420705305,-0.3065124452278977
Utah,84897,54.0,0.0,0.0,18409.0,484,0.0262914878591993,0.0,0.0927779014311401,-0.6832594339007998,-0.37340880664035037,-0.5706787535813662,-0.4352893668441809,-0.4557736312115483,-0.4078448563256563
Vermont,9616,11.666666666666666,308745.1806507017,26463.872627203004,6808.0,1254,0.1841950646298472,45.35034968429813,-0.6827871590799716,-0.8352784036199736,1.5237288617907403,-0.865767952806583,-0.31793851378622223,0.5456606631140256,0.5375429706054536
Virginia,42775,119.66666666666667,136453.80812686757,1140.2825191660243,43225.0,8948,0.2070098322729901,3.156826098944305,-0.34117424424770376,-0.44745048087184514,-0.29166442439375245,0.060554206333553205,0.8546555945617443,0.6903533369734552,-0.34203665448253623
Washington,71298,228.0,1030022.5172531863,4517.642619531519,35793.0,7854,0.2194283798508088,28.777205522118468,-0.04732264529234401,-0.05842555836214844,-0.04954879919710922,-0.1284900940407086,0.6879259409962809,0.7691125372682339,0.19205393129328563
West Virginia,24230,39.0,,,23622.0,103,0.0043603420540174,,-0.5322298100236441,-0.7371244231713732,,-0.4380781160879557,-0.49335517855207994,-0.5948623204757812,
Wisconsin,65496,370.1666666666667,100825.78432670636,272.3794263666088,64793.0,240,0.0037041038383776,1.5561215613832722,-0.10709640601663659,0.45209483994673055,-0.35388251594415904,0.6091693126941666,-0.4724758709300795,-0.5990242240110207,-0.3754054508613554
Wyoming,97813,21.166666666666668,2733.2412079312803,129.12950588651717,11938.0,1385,0.1160160830959959,0.22895302462148437,0.22584199890010995,-0.8011639104152771,-0.36415179225042366,-0.7352785474083103,-0.29797362839584224,0.11326532631073404,-0.4030720286865531
