year,state,occ_code,occ_title,tot_emp,h_mean,a_mean
2013,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",760.0,16.37,34060.0
2014,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",570.0,15.26,31740.0
2015,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",540.0,15.99,33250.0
2016,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1090.0,19.31,40160.0
2017,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1200.0,20.34,42300.0
2018,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1050.0,19.8,41180.0
2019,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",700.0,18.24,37940.0
2020,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",680.0,18.64,38780.0
2021,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",880.0,17.39,36170.0
2011,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",570.0,13.75,28610.0
2012,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",690.0,14.02,29160.0
2013,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",820.0,15.36,31950.0
2014,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1100.0,14.12,29360.0
2015,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1180.0,14.47,30100.0
2016,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1170.0,14.8,30780.0
2017,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1220.0,17.12,35620.0
2018,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1270.0,17.63,36670.0
2019,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1220.0,17.94,37310.0
2020,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",760.0,18.84,39180.0
2021,Iowa,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,19.42,40390.0
2011,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",560.0,15.92,33110.0
2012,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",530.0,16.31,33920.0
2013,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",420.0,16.61,34560.0
2014,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",360.0,16.59,34500.0
2015,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,17.35,36090.0
2016,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",500.0,17.54,36480.0
2017,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",530.0,16.97,35290.0
2018,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",590.0,16.67,34680.0
2019,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",680.0,16.83,35000.0
2020,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",620.0,17.37,36120.0
2021,Kansas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",310.0,18.47,38430.0
2011,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",310.0,11.49,23910.0
2012,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",330.0,12.13,25230.0
2013,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",130.0,15.18,31570.0
2014,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",160.0,15.2,31630.0
2015,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",160.0,14.64,30450.0
2016,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",190.0,14.6,30370.0
2017,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",230.0,14.78,30750.0
2018,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",200.0,15.29,31790.0
2019,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",170.0,16.8,34940.0
2020,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",120.0,16.33,33960.0
2021,Kentucky,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",280.0,17.32,36030.0
2011,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,14.22,29570.0
2012,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",330.0,13.88,28870.0
2013,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,15.32,31870.0
2014,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",390.0,14.64,30450.0
2015,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",390.0,15.21,31640.0
2016,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",370.0,14.07,29270.0
2017,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",330.0,13.16,27360.0
2018,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",410.0,14.28,29700.0
2019,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",370.0,14.99,31190.0
2020,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",290.0,16.64,34620.0
2021,Louisiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,14.73,30640.0
2011,Maine,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",90.0,16.47,34250.0
2012,Maine,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,12.1,25170.0
2013,Maine,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",130.0,11.48,23870.0
2014,Maine,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",140.0,15.68,32620.0
2015,Maine,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,20.39,42420.0
2016,Maine,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,21.11,43910.0
2011,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,15.63,32500.0
2012,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",90.0,16.63,34580.0
2013,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",110.0,17.24,35850.0
2014,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,16.4,34100.0
2015,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",480.0,16.76,34870.0
2016,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",400.0,17.55,36500.0
2017,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",170.0,18.73,38960.0
2018,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.5,40560.0
2019,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",130.0,16.97,35310.0
2020,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,17.98,37400.0
2021,Maryland,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,19.59,40740.0
2011,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,19.66,40890.0
2012,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",360.0,19.7,40980.0
2013,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",390.0,18.81,39120.0
2014,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,17.67,36760.0
2015,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,17.67,36750.0
2016,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,20.01,41610.0
2017,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,16.37,34050.0
2018,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",360.0,15.98,33230.0
2019,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",450.0,16.21,33720.0
2020,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",280.0,18.98,39480.0
2021,Massachusetts,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,24.07,50060.0
2011,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,13.19,27440.0
2012,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",530.0,13.72,28540.0
2013,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",600.0,14.14,29410.0
2014,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",990.0,14.49,30140.0
2015,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",780.0,15.58,32410.0
2016,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",860.0,16.04,33370.0
2017,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",660.0,16.44,34190.0
2018,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",590.0,15.67,32600.0
2019,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",620.0,16.61,34560.0
2020,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",590.0,17.77,36970.0
2021,Michigan,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",690.0,18.53,38550.0
2011,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1250.0,15.1,31400.0
2012,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1150.0,15.66,32570.0
2013,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1010.0,15.62,32490.0
2014,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",840.0,15.35,31920.0
2015,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",740.0,16.14,33570.0
2016,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",350.0,17.89,37210.0
