year,state,occ_code,occ_title,tot_emp,h_mean,a_mean
2017,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",370.0,28.46,59190.0
2018,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",370.0,30.45,63350.0
2019,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270.0,33.19,69040.0
2020,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,28.57,59410.0
2021,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",420.0,27.37,56920.0
2014,Alaska,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",30.0,26.24,54580.0
2015,Alaska,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",60.0,26.6,55320.0
2016,Alaska,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",50.0,27.99,58220.0
2018,Alaska,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",,21.42,44550.0
2019,Alaska,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",,21.98,45720.0
2020,Alaska,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",,23.99,49890.0
2021,Alaska,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",70.0,24.6,51170.0
2011,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,20.91,43490.0
2012,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,21.77,45290.0
2013,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",370.0,19.88,41360.0
2014,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",410.0,20.79,43250.0
2015,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",470.0,21.32,44340.0
2016,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",530.0,23.48,48830.0
2017,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",600.0,24.14,50210.0
2018,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",610.0,24.78,51540.0
2019,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",570.0,24.95,51890.0
2020,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",730.0,27.54,57290.0
2021,Arizona,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",720.0,27.79,57810.0
2011,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",360.0,21.33,44360.0
2012,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300.0,19.57,40700.0
2013,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270.0,20.42,42460.0
2014,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270.0,21.61,44950.0
2015,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300.0,22.05,45870.0
2016,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",310.0,21.37,44450.0
2017,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",280.0,21.97,45700.0
2018,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,22.39,46570.0
2019,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300.0,25.38,52800.0
2020,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",260.0,28.49,59250.0
2021,Arkansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",210.0,34.46,71680.0
2011,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",5390.0,20.81,43290.0
2012,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",5810.0,21.48,44670.0
2013,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",5050.0,20.61,42870.0
2014,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",5120.0,20.98,43650.0
2015,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",4920.0,20.78,43220.0
2016,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",5430.0,21.28,44260.0
2017,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6130.0,22.78,47370.0
2018,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6790.0,22.77,47360.0
2019,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7450.0,23.52,48920.0
2020,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7270.0,24.75,51490.0
2021,California,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",9180.0,25.29,52610.0
2011,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",130.0,22.53,46870.0
2012,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",120.0,23.28,48420.0
2013,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",200.0,23.63,49150.0
2014,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",200.0,24.76,51500.0
2015,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,25.95,53980.0
2016,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,24.63,51230.0
2017,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",330.0,25.47,52970.0
2018,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",330.0,27.56,57330.0
2019,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",360.0,27.78,57780.0
2020,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",440.0,29.63,61630.0
2021,Colorado,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",520.0,28.57,59420.0
2011,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",40.0,23.15,48160.0
2012,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",50.0,23.29,48450.0
2013,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",60.0,22.56,46930.0
2014,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",80.0,23.48,48840.0
2015,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",80.0,23.97,49860.0
2016,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",80.0,22.81,47450.0
2017,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",90.0,23.79,49470.0
2018,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",150.0,23.65,49180.0
2019,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",120.0,25.78,53610.0
2020,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",110.0,27.67,57540.0
2021,Connecticut,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",70.0,29.11,60550.0
2011,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",70.0,24.64,51240.0
2012,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",100.0,24.95,51900.0
2013,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",120.0,25.4,52840.0
2014,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",90.0,26.01,54100.0
2015,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",60.0,25.75,53560.0
2016,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",60.0,25.7,53460.0
2017,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",80.0,27.07,56310.0
2018,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",90.0,26.34,54780.0
2019,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",100.0,27.1,56370.0
2020,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",80.0,25.57,53190.0
2021,Delaware,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",80.0,27.28,56740.0
2011,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1120.0,21.53,44780.0
2012,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1430.0,20.96,43590.0
2013,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1500.0,20.89,43450.0
2014,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1310.0,21.59,44910.0
2015,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1440.0,22.67,47160.0
2016,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1410.0,22.56,46920.0
2017,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1330.0,22.95,47750.0
2018,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",870.0,22.75,47310.0
2019,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",910.0,26.38,54870.0
2020,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1080.0,26.81,55760.0
2021,Florida,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1180.0,26.92,56000.0
2011,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",610.0,23.45,48780.0
2012,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",680.0,23.41,48690.0
2013,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",660.0,22.91,47650.0
2014,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",560.0,25.47,52990.0
2015,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",580.0,23.79,49480.0
2016,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",650.0,23.42,48720.0
2017,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",790.0,23.14,48130.0
2018,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",770.0,24.11,50150.0
2019,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",720.0,25.56,53170.0
2020,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",640.0,26.03,54130.0
2021,Georgia,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",740.0,27.32,56820.0
2011,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",50.0,22.61,47040.0
2012,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",90.0,21.41,44540.0
2013,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",70.0,21.86,45460.0
2014,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",90.0,23.53,48940.0
2015,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",60.0,21.71,45160.0
2016,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",70.0,24.83,51640.0
2017,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",50.0,24.6,51170.0
2018,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",60.0,27.14,56440.0
2019,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",60.0,27.5,57210.0
2020,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",150.0,32.96,68570.0
2021,Hawaii,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",170.0,31.59,65720.0
2011,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,21.98,45710.0
2012,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",390.0,23.03,47910.0
2013,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,23.47,48810.0
2014,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",260.0,21.52,44760.0
2015,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",230.0,19.6,40760.0
2016,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",230.0,20.49,42610.0
2017,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",200.0,21.61,44940.0
2018,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",180.0,21.75,45230.0
2019,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",120.0,21.73,45190.0
2020,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",120.0,21.55,44810.0
2021,Idaho,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,27.29,56760.0
2011,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270.0,23.27,48410.0
2012,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",240.0,23.19,48240.0
2013,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270.0,26.46,55040.0
2014,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",330.0,25.38,52790.0
2015,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300.0,22.01,45780.0
2016,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,20.29,42210.0
2017,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,20.45,42540.0
2018,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",160.0,23.65,49190.0
2019,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190.0,24.1,50130.0
2020,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190.0,32.07,66710.0
2021,Illinois,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190.0,34.58,71930.0
2011,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",170.0,20.3,42230.0
2012,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",220.0,20.09,41790.0
2013,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",210.0,20.37,42380.0
2014,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",220.0,20.13,41880.0
2015,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",200.0,20.98,43640.0
2016,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",180.0,22.7,47220.0
2017,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",170.0,22.46,46730.0
2018,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",170.0,23.02,47880.0
2019,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",150.0,27.98,58200.0
2020,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",180.0,29.52,61400.0
2021,Indiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",160.0,29.39,61130.0
2011,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",360.0,24.73,51430.0
2012,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300.0,24.68,51330.0
2013,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,24.57,51110.0
2014,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",330.0,26.38,54870.0
2015,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270.0,26.09,54260.0
2016,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",210.0,27.52,57230.0
2017,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",180.0,27.02,56200.0
2018,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",230.0,27.91,58040.0
2019,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,27.44,57080.0
2020,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",290.0,28.0,58230.0
2021,Iowa,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",370.0,26.86,55870.0
2011,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190.0,23.1,48050.0
2012,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",210.0,22.9,47630.0
2013,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",260.0,24.1,50140.0
2014,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190.0,24.04,50000.0
2015,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",180.0,23.3,48460.0
2016,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",150.0,24.91,51810.0
2017,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",160.0,25.13,52280.0
2018,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",280.0,24.15,50230.0
2019,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,24.4,50750.0
2020,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",390.0,25.03,52060.0
2021,Kansas,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",230.0,23.23,48320.0
2011,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,19.19,39920.0
2012,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",370.0,18.79,39090.0
2013,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",340.0,18.93,39380.0
2014,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,21.24,44190.0
2015,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",290.0,22.87,47560.0
2016,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,23.97,49870.0
2017,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,22.83,47480.0
2018,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",310.0,23.77,49440.0
2019,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",290.0,24.94,51870.0
2020,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",330.0,22.4,46580.0
2021,Kentucky,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",330.0,21.86,45470.0
2011,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300.0,21.83,45410.0
2012,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",250.0,23.68,49260.0
2013,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",280.0,23.1,48040.0
2014,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",340.0,27.65,57510.0
2015,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",510.0,26.52,55160.0
2016,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",470.0,27.24,56670.0
2017,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",540.0,26.23,54570.0
2018,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",400.0,26.36,54830.0
2019,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",450.0,29.01,60350.0
2020,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",340.0,28.05,58350.0
2021,Louisiana,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",240.0,26.35,54810.0
2011,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",200.0,24.15,50240.0
2012,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",110.0,23.73,49360.0
2013,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",180.0,19.97,41550.0
2014,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",210.0,20.46,42550.0
2015,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",220.0,21.27,44240.0
2016,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",,25.77,53610.0
2017,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",110.0,25.85,53770.0
2018,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",130.0,23.62,49120.0
2019,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",170.0,25.1,52220.0
2020,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",160.0,22.27,46320.0
2021,Maine,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",160.0,23.43,48730.0
2011,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",170.0,24.1,50130.0
2012,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",100.0,23.49,48850.0
2013,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",100.0,23.88,49670.0
2014,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",110.0,25.19,52400.0
2015,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",140.0,24.95,51900.0
2016,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",170.0,27.22,56620.0
2017,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",230.0,25.64,53330.0
2018,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,26.8,55750.0
2019,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",520.0,24.51,50990.0
2020,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",450.0,25.34,52700.0
2021,Maryland,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,26.59,55310.0
2011,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",220.0,18.99,39500.0
2012,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",150.0,22.98,47790.0
2013,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",110.0,25.32,52660.0
2014,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",90.0,23.08,48010.0
2015,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",160.0,25.91,53890.0
2016,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190.0,26.35,54810.0
2017,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",150.0,25.45,52930.0
2018,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",170.0,25.65,53360.0
2019,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",220.0,24.88,51750.0
2020,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",240.0,25.61,53280.0
2021,Massachusetts,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",260.0,24.9,51790.0
2011,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,26.54,55200.0
2012,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",400.0,26.76,55660.0
2013,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",340.0,25.26,52530.0
2014,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",330.0,25.89,53860.0
2015,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,24.34,50620.0
2016,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,20.83,43320.0
2017,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,21.27,44240.0
2018,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",280.0,24.07,50060.0
2019,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",260.0,27.68,57580.0
2020,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270.0,30.61,63660.0
2021,Michigan,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",370.0,27.83,57890.0
2011,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",200.0,22.79,47400.0
2012,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",230.0,22.73,47290.0
2013,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",240.0,22.99,47830.0
2014,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190.0,25.5,53030.0
2015,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",190.0,24.51,50980.0
2016,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",180.0,25.19,52390.0
2017,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",200.0,29.18,60690.0
2018,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",160.0,31.41,65340.0
2019,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",220.0,35.43,73690.0
2020,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",200.0,29.18,60690.0
2021,Minnesota,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300.0,27.5,57190.0
2011,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",360.0,21.29,44290.0
2012,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",400.0,23.21,48280.0
2013,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",430.0,22.29,46350.0
2014,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",360.0,22.61,47030.0
2015,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",550.0,22.15,46070.0
2016,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",370.0,20.71,43070.0
2017,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",380.0,20.66,42980.0
2018,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",350.0,,
2019,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270.0,26.22,54550.0
2020,Mississippi,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",240.0,26.11,54300.0
