Year,State,Generated Internal ID,CFDA Number,Recipient,Type Description,Description,Total Obligation
2008,GA,ASST_NON_96498408_6800,66.716,THE NATURE CONSERVANCY,,"THIS ACTION APPROVES AN AWARD IN THE AMOUNT OF $331,028. THIS PROJECT WILL BE A COMPONENT OF THE FLINT RIVER BASIN PROGRAM AND IS EXPECTED TO SIGNI",181028
2008,HI,ASST_NON_00915908_6800,66.7,DEPARTMENT OF AGRICULTURE HAWAII,,"THIS CONTINUATION AGREEMENT AIMS TO IMPROVE UNDERSTANDING AND COMPLIANCE WITH PESTICIDE LAWS AND REGULATIONS, PROTECTING HUMAN HEALTH AND THE ENVIRO",278125
2008,HI,ASST_NON_00941908_6800,66.7,DEPARTMENT OF AGRICULTURE HAWAII,,THIS AGREEMENT AIMS TO PROTECT HUMAN HEALTH AND THE ENVIRONMENT BY IMPROVING UNDERSTANDING OF AND COMPLIANCE WITH PESTICIDE LAWS AND REGULATIONS. TH,30000
2008,ID,ASST_NON_00087004_6800,66.7,COEUR D'ALENE TRIBE,,THE COEUR D'ALENE TRIBE HOSTS THE REGION 10 PESTICIDE ENFORCEMENT CIRCUIT RIDER PROGRAM. THE TRIBE WORKS IN COOPERATION WITH THE US ENVIRONMENTAL PR,158861
2008,ID,ASST_NON_00052707_6800,66.7,"AGRICULTURE, IDAHO DEPARTMENT OF",,"DURING THE PROJECT PERIOD, THE IDAHO DEPARTMENT OF AGRICULTURE WILL COOPERATE IN THE ENFORCEMENT OF THE FEDERAL INSECTICIDE, FUNGICIDE, AND RODENTI",437169
2008,ID,ASST_NON_96075301_6800,66.714,WASHINGTON HOP COMMISSION,,THIS GRANT WILL DEVELOP A COMPREHENSIVE INTEGRATED PEST MANAGEMENT HANDBOOK FOR PACIFIC NORTHWEST HOP PRODUCTION. GROWER INPUT DURING THE PROJECT WI,50310
2008,IL,ASST_NON_00E45101_6800,66.716,THE AMERICAN FARMLAND TRUST,,EPA FUNDS DISTRIBUTED THROUGH A COMPETITIVE GRANTS PROGRAM FOR PROJECTS THAT INVESTIGATE PEST CONTROL ALTERNATIVES TO CHEMICALS BEING REVIEWED UNDER,172840
2008,IL,ASST_NON_00E30001_6800,66.716,METROPOLITAN TENANTS ORGANIZATION,,"THE METROPOLITAN TENANTS ORGANIZATION (MTO), IN PARTNERSHIP WITH THE ILLINOIS CHAPTER OF THE AMERICAN ACADEMY OF PEDIATRICS (ICAAP) AND THE CHICAGO",0
2008,IN,ASST_NON_97547109_6800,66.7,PURDUE UNIVERSITY,,"THIS PROJECT IS TO ENSURE THAT PESTICIDES ARE REGISTERED, DISTRIBUTED, AND USED IN ACCORDANCE WITH BOTH STATE AND FEDERAL LAWS, RULES, AND REGULATIO",411480
2008,IN,ASST_NON_97547108_6800,66.7,PURDUE UNIVERSITY,,THE OFFICE OF THE INDIANA STATE CHEMIST (OISC) UNDER BOTH STATE AND FEDERAL LAW (FIFRA) ARE CHARGED WITH PESTICIDE REGULATORY ADMINISTRATION AND ENF,557945
2008,IN,ASST_NON_00E49801_6800,66.714,PURDUE UNIVERSITY,,THIS PROJECT IS TO PROMOTE THE ADOPTION OF BED BUG INTEGRATED PEST MANAGEMENT (IPM) STRATEGIES IN MULTI-UNIT DWELLINGS. IT WILL DEMONSTRATE AND DOCU,49983
2008,IA,ASST_NON_98794801_6800,66.714,IOWA STATE UNIVERSITY,,THIS PROJECT WILL HELP CUCURBIT GROWERS IN THE EASTERN UNITED STATES CONTROL BACTERIAL WILT WITH FOUR FEWER INSECTICIDE APPLICATIONS BY INTEGRATING,50275
2008,LA,ASST_NON_00635209_6800,66.7,"AGRICULTURE & FORESTRY, LOUISIANA DEPARTMENT OF",,THE PURPOSE OF THIS FY 2009 COOPERATIVE AGREEMENT WITH THE LOUISIANA DEPARTMENT OF AGRICULTURE IS TO ADMINISTER THE FOLLOWING:  (1) A COMPREHENSIVE,366056
2008,LA,ASST_NON_00635208_6800,66.7,"AGRICULTURE & FORESTRY, LOUISIANA DEPARTMENT OF",,THE PURPOSE OF THIS FY 2008 COOPERATIVE AGREEMENT WITH THE LOUISIANA DEPARTMENT OF AGRICULTURE IS TO ADMINISTER THE FOLLOWING:  (1) A COMPREHENSIVE,132966
2008,MA,ASST_NON_83198801_6800,66.716,NATIVE ECOLOGY INITIATIVE INC.,,THE OBJECTIVE OF THIS PROJECT IS TO RESEARCH AND DEVELOP AN APPROPRIATE APPROACH FOR THE FORMATION OF THE TRIBAL PESTICIDE PROGRAMS COUNCIL THAT WIL,202000
2008,MA,ASST_NON_00146209_6800,66.7,MASSACHUSETTS DEPARTMENT OF AGRICULTURAL RESOURCES,,"THE FUNDS ARE AWARDED TO PROVIDE SUPPORT TO THE COMMONWEALTH OF MASSACHUSETTS, DEPARTMENT OF AGRICULTURAL RESOURCES, PESTICIDE BUREAU TO MONITOR PES",330324
2008,MA,ASST_NON_00147809_6800,66.7,MASSACHUSETTS DEPARTMENT OF AGRICULTURAL RESOURCES,,THE GOAL OF THIS PROGRAM IS FOR THE MASSACHUSETTS DEPARTMENT OF AGRICULTURAL RESOURCES TO TRAIN AND CERTIFY PESTICIDE APPLICATORS AND MONITOR ASSOCI,122857
2008,MA,ASST_NON_97197701_6800,66.716,RED TOMATO INC,,"THE ECO APPLE PROJECT WAS DEVELOPED AND STARTED BY RED TOMATO IN 2005 TO DEVELOP QUANTIFIABLE, SCIENCE -BASED INTEGRATED PEST MANAGEMENT (IPM) PERFO",110000
2008,MA,ASST_NON_97172201_6800,66.716,"HEALTH RESOURCES IN ACTION, INC.",,"THE MEDICAL FOUNDATION WILL SERVE AS THE FISCAL AGENT FOR THE LEAD ACTION COLLABORATIVE'S ""ENDING LEAD POISONING IN BOSTON: TARGETING HOT SPOTS"" PRO",0
2008,MA,ASST_NON_97132801_6800,66.716,"MASSACHUSETTS FRUIT GROWERS ASSOCIATION, INC.",,"USING AN ORCHARD AIRBLAST SPRAYER ""TEST BENCH"", SELECTED MASSACHUSETTS AND OTHER NEW ENGLAND ECO APPLE ORCHARDS WILL BE PROVIDED WITH A COMPLETE ORC",63385
2008,MA,ASST_NON_97152901_6800,66.714,UNIVERSITY OF MASSACHUSETTS,,DEVELOP AN ECONOMIC ANALYSIS COMPARING THE CULTIVATORS TO TRADITIONAL CHEMICAL CONTROL OPTIONS. DISSEMINATE FINDINGS THROUGH UMASS CRANBERRY STATION,49093
2008,MA,ASST_NON_97131501_6800,66.716,NEW ENGLAND VEGETABLE & BERRY GROWERS ASSOC.,,PROJECT WILL IMPROVE CUCURBIT DISEASE MANAGEMENT VIA GROWER EDUCATION ON THE IDENTIFICATION OF CUCURBIT DISEASES; GROWER EDUCATION ON CULTURAL MANAG,36615
2008,MA,ASST_NON_97189501_6800,66.714,UNIVERSITY OF MASSACHUSETTS,,THE GOAL OF THIS PROJECT IS TO DEVISE AND PROMOTE AN INTEGRATED PEST MANAGMENT  (IPM) STRATEGY FOR POTATO LEAFHOPPER CONTROL DURING A FIRE BLIGHT OU,32401
2008,MI,ASST_NON_00E30101_6800,66.716,CITY OF KALAMAZOO,,"THE CITY OF KALAMAZOO, MICHIGAN IN CONJUNCTION WITH KALAMAZOO VALLEY COMMUNITY COLLEGE, THE COUNTY OF KALAMAZOO, AND THE WAYNE COUNTY PROSECUTORS OF",0
2008,MI,ASST_NON_83410901_6800,66.716,MICHIGAN STATE UNIVERSITY,,THE COOPERATIVE AGREEMENT MAINTAINS FUNDING FOR A PRIA2 PARTNERSHIP GRANT IN SUPPORT OF INCREASING ADOPTION OF REDUCED-RISK PEST MANAGEMENT PRACTICE,91508
2008,MI,ASST_NON_00E64801_6800,66.714,MICHIGAN STATE UNIVERSITY,,THIS PROJECT WILL DEVELOP AND PRODUCE A GROWER GUIDEBOOK TO ASSESS ENVIRONMENTAL PESTICIDE RISK AND TO FACILITATE THE ADOPTION OF INTEGRATED PEST MA,50221
2008,MN,ASST_NON_00E69501_6800,66.7,BOIS FORTE RESERVATION TRIBAL COUNCIL,,THIS COOPERATIVE AGREEMENT WILL ALLOW BOIS FORTE TO PARTICIPATE IN THE CIRCUIT RIDER PROGRAM. THIS PROGRAM SEEKS TO ENHANCE COMPLIANCE WITH RULES AS,100000
2008,MN,ASST_NON_00E30801_6800,66.716,SOUTHWEST MINNESOTA HOUSING PARTNERSHIP,,"THE GOAL OF THIS PROJECT IS TO INCREASE EDUCATIONAL OPPORTUNITIES FOR FAMILIES, LOCAL AGENCIES, AND CONTRACTORS RELATED TO CHILDHOOD LEAD POSIONING",0
2008,MN,ASST_NON_97875501_6800,66.716,LAND STEWARDSHIP PROJECT,,THIS AWARD PROVIDES FUNDS FOR RISK REDUCTION FROM THE USE OF PESTICIDES IN AGRICULTURAL SETTINGS IN THE UNITED STATES.,35000
2008,MS,ASST_NON_96499108_6800,66.716,"B. F. SMITH FOUNDATION, THE",,"THIS ACTION PROVIDES FUNDING IN THE AMOUNT OF $170,000 TO REDUCE THE USE OF HIGHLY TOXIC PESTICIDES (AND THEIR ASSOCIATED RISKS) FOR CORN, SOYBEAN,",170000
2008,MS,ASST_NON_97464707_6800,66.7,AGRICULTURAL AVIATION BOARD OF MISSISSIPPI,,"THIS ACTION APPROVES A PARTIAL AWARD IN THE AMOUNT OF $ 36,000 TO STRENGTHEN THE ENFORCEMENT AND ADJUDICATION OF STATE AND FEDERAL PESTICIDE STATUTE",0
