Year,State,Generated Internal ID,CFDA Number,Recipient,Type Description,Description,Total Obligation
2021,WA,ASST_NON_01J97601_6800,66.7,STATE OF WASHINGTON DEPARTMENT OF AGRICULTURE,PROJECT GRANT (B),"THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT NOT LIMITED TO, ACTIVITIES SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION. THE AGREEMENT WILL RESULTS IN ENHANCED PROTECTION OF HUMAN HEALTH AND ENVIRONMENT (E.G. REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES).

STATUTORY AUTHORITY ALSO INCLUDES FURTHER CONSOLIDATED APPROPRIATIONS ACT OF 2021 (PL 116-260)",748500
2021,WA,ASST_NON_98097113_6800,66.7,CONFEDERATED TRIBES AND BANDS OF THE YAKAMA NATION,PROJECT GRANT (B),"THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT NOT LIMITED TO ACTIVITIES SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT (E.G. REDUCED PESTICIDE EXPOSURE TO AGRICULTURE WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES).

NOTE THAT YOU MAY NOT DRAW DOWN FUNDS FOR INDIRECT COSTS WITHOUT A CURRENT, APPROVED RATE IN PLACE.",117512
2021,WA,ASST_NON_98097112_6800,66.7,CONFEDERATED TRIBES AND BANDS OF THE YAKAMA NATION,PROJECT GRANT (B),"THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING ACTIVITIES SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT (E.G. REDUCED PESTICIDE EXPOSURE TO AG WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES AND ENDANGERED SPECIES FROM PESTICIDES).  NOTE THAT YOU MAY NOT DRAW DOWN FUNDS FOR INDIRECT COSTS WITHOUT A CURRENT, APPROVED RATE IN PLACE.",5000
2022,AK,ASST_NON_84013701_6800,66.716,ZENDER ENVIRONMENTAL HEALTH & RESEARCH GROUP CO,PROJECT GRANT (B),"GRANTEE WILL PROVIDE TECHNICAL SUPOORT TO THE NATIONAL TRIBAL TOXICS COUNCIL (NTTC) IN ORDER TO: 1) REPRESENT TRIBAL INTERESTS IN THE DEVELOPMENT AND MANAGEMENT AND POLLUTION PREVENTION PROGRAMS; AND, 2) FACILITATE TRIBAL COOPERATION WITH EPA IN RESOLVING ASSOCIATED ISSUES.",320000
2022,AK,ASST_NON_02J11801_6800,66.7,ENVIRONMENTAL CONSERVATION ALASKA DEPARTMENT,PROJECT GRANT (B),"DESCRIPTION:THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT ARE NOT LIMITED TO, ACTIVITIES SUCH AS COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, WATER QUALITY PROTECTION, WORKER PROTECTION, AND OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT; E.G., REDUCED PESTICIDE EXPOSURE, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES.ACTIVITIES:THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT ARE NOT LIMITED TO, ACTIVITIES SUCH AS COMPLIANCE MONITORING, ENFORCEMENT, INSPECTIONS, RESPONDING TO PUBLIC INQUIRIES AND DRIFT INCIDENTS, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, WATER QUALITY PROTECTION, WORKER PROTECTION, AND OUTREACH AND EDUCATION. SUBRECIPIENT:NO SUBAWARDS ARE INCLUDED IN THIS ASSISTANCE AGREEMENT.OUTCOMES:
THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS WHICH WILL RESULT IN BETTER COMPLIANCE MONITORING, ENFORCEMENT AND INSPECTIONS, CERTIFICATION AND TRAINING OPPORTUNITIES FOR PESTICIDE APPLICATORS, INCREASED WATER QUALITY PROTECTION, BETTER WORKER PROTECTION, AND OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT. THE PESTICIDE INSPECTORS AND STATE'S CITIZENS ARE THE DIRECT BENEFICIARIES.",339500
2022,AK,ASST_NON_01J96001_6800,66.7,ENVIRONMENTAL CONSERVATION ALASKA DEPARTMENT,PROJECT GRANT (B),"THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT ARE NOT LIMITED TO, ACTIVITIES SUCH AS COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, WATER QUALITY PROTECTION, WORKER PROTECTION, AND OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT; E.G., REDUCED PESTICIDE EXPOSURE, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES.",5000
2022,AZ,ASST_NON_84005001_6800,66.716,NORTHERN ARIZONA UNIVERSITY,PROJECT GRANT (B),"THIS PROJECT WILL PROVIDE TRAINING, TECHNICAL SUPPORT AND OUTREACH, WITH ASSOCIATED ACTIVITIES, TO THE TRIBAL PESTICIDE PROGRAM COUNCIL (TPPC), TO IDENTIFY HIGH-PRIORITY, PESTICIDE-RELATED ISSUES.  THE TPPC WILL 1) INFORM TRIBES OF PESTICIDE ISSUES AND PROMOTE PESTICIDE EDUCATION AND AWARENESS; 2) ASSIST IN THE ESTABLISHMENT, DEVELOPMENT AND IMPLEMENTATION OF COMPREHENSIVE TRIBAL PESTICIDE PROGRAMS; AND 3) FOSTERS GOOD COMMUNICATION BETWEEN THE OFFICE OF PESTICIDE PROGRAMS AND TRIBAL MEMBERS.",195000
2022,AR,ASST_NON_00635123_6800,66.7,ARKANSAS STATE PLANT BOARD,PROJECT GRANT (B),"DESCRIPTION:THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT NOT LIMITED TO, ACTIVITIES SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT (E.G. REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES).ACTIVITIES:THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT NOT LIMITED TO, ACTIVITIES SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION. ADDITIONALLY, THE RECIPIENT WILL HOST THE ANNUAL R6 PESTICIDE INSPECTORS TRAINING, TO BE FUNDED THROUGH THIS COOPERATIVE AGREEMENT. SUBRECIPIENT:NO SUBAWARDS ARE INCLUDED IN THIS ASSISTANCE AGREEMENT.OUTCOMES:THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT (E.G. REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES). THE INTENDED BENEFICIARIES ARE THE AGRICULTURAL WORKERS, PESTICIDE HANDLERS, AND CITIZENS IN RECEIPT OF OR IMPACTED BY PESTICIDE USE.",609601
2022,AR,ASST_NON_00635122_6800,66.7,ARKANSAS STATE PLANT BOARD,PROJECT GRANT (B),"THE PURPOSE OF THIS AWARD IS TO PROVIDE FINANCIAL AND TECHNICAL SUPPORT TO THE STATE LEAD AGENCY (SLA), THE ARKANSAS STATE PLANT BOARD (ASPB) IN THEIR IMPLEMENTATION OF PESTICIDES PROGRAMS. 

THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS FIFRA REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT NOT LIMITED TO, ACTIVITIES SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, WORKER PROTECTION STANDARD ENFORCEMENT AND OUTREACH, ENDANGERED SPECIES PROTECTION, PESTICIDES AND WATER PROGRAMS, AND GENERAL PESTICIDES SAFETY. 

DELIVERABLES INCLUDE INSPECTION REPORTS, ENFORCEMENT ACTIONS, CERTIFIED APPLICATOR RECORDS, WORKER PROTECTION TRAININGS AND INSPECTIONS. THE AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT (E.G. REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES). 

THERE ARE NO S",162972
2022,CA,ASST_NON_84019401_6800,66.716,"UNIVERSITY OF CALIFORNIA, DAVIS",PROJECT GRANT (B),"THE PURPOSE OF THIS PROJECT IS TO 1) ADVANCE THE SAFE USE OF PESTICIDES AND MINIMIZE THE MISUSE OF PESTICIDES BY INCREASING THE NUMBER, QUALITY AND ACCESSIBILITY OF EDUCATION/TRAINING RESOURCES, 2)ENHANCE THE CAPABILITIES OF PARTNERS AND STAKEHOLDERS TO DEVELOP AND IMPLEMENT EDUCATIONAL PROGRAMS/ACTIVITIES IN SUPPORT OF SAFE PESTICIDE USE AND 3) MINIMIZE THE RISK OF EXPOSURE TO PESTICIDES AND ENSURE THEIR PROPER/LAWFUL USE THROUGH EDUCATION AND OUTREACH TARGETED TOWARD AGRICULTURAL WORKERS, PESTICIDE APPLICATORS, HANDLERS, AND OTHERS.",1200000
2022,CA,ASST_NON_83935901_6800,66.716,"UNIVERSITY OF CALIFORNIA, DAVIS",PROJECT GRANT (B),"THIS PROJECT WILL PROVIDE SUPPORT A NATIONAL PROGRAM PROVIDING TRAINING TO HEALTHCARE PROVIDERS IN THE PRACTICE SETTING ON THE RECOGNITION AND MANAGEMENT OF PESTICIDE RELATED ILLNESS. THE ACTIVITIES WILL SUPPORT EFFORTS TO REDUCE THE RISK OF PESTICIDE EXPOSURE FOR AGRICULTURAL WORKERS AND COMMUNITIES. THE PROGRAM WILL EXPAND ON PREVIOUS PROGRAMS BY INCLUDING ADDITIONAL HEALTHCARE PRACTICE SITES, IMPROVING EXISTING EDUCATIONAL MATERIALS AND TARGETING LARGER AUDIENCES OF PROVIDERS INCLUDING, DOCTORS, NURSES, EMERGENCY RESPONSE PERSONNEL AND OTHER SIMILAR CLINICAL STAFF. THE PROGRAM WILL ALSO FOCUS ITS EFFORTS ON TRAINING CLINICIANS SERVING THE MIGRANT AND SEASONAL FARMWORKER COMMUNITY.",500000
2022,CA,ASST_NON_83996901_6800,66.716,UNIVERSITY OF CALIFORNIA OFFICE OF THE PRESIDENT,PROJECT GRANT (B),"THIS PROJECT WILL DEVELOP AT LEAST FOUR WORKSHOPS AND MATERIALS ANNUALLY COVERING TOPICS RELEVANT TO REGULATORY PROFESSIONALS IN SENIOR STAFF AND MANAGEMENT POSITIONS. THESE TRAINING OPPORTUNITIES WILL BE HELD EITHER ON THE UC DAVIS CAMPUS OR IN DIFFERENT LOCATIONS ACROSS THE COUNTRY, AND WILL IMPROVE STAFF CAPACITY TO ADDRESS NONCOMPLIANCE ISSUES AND SAFETY GAPS, LEADING TO MORE EFFECTIVE PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT. WITHIN AND BEYOND THE IN-PERSON WORKSHOPS, THE PREP NETWORK HAS OUTLINED PLANS TO MAKE SPACE FOR NETWORKING AMONG ATTENDEES WHEREVER THEY ARE TO BUILD COMMUNITY AND FOSTER COOPERATION AMONG STATES, TRIBES, U.S. TERRITORIES, AND U.S. GOVERNMENT AGENCIES ' AN IMPORTANT STEP TOWARD INCREASING EFFICIENCIES AND STRETCHING LIMITED REGULATORY DOLLARS.   IN ADDITION, THIS PROJECT WILL ALSO DO CONTINUAL EVALUATION. PARTICIPANTS WILL BE PRIMED TO PROVIDE CONSTRUCTIVE FEEDBACK VIA PAPER OR ELECTRONIC SURVEYS, EVEN MONTHS AFTER THEIR INITIAL CONTACT WITH THE PREP",-594472
2022,CA,ASST_NON_98T00701_6800,66.716,"ALAMEDA, COUNTY OF",PROJECT GRANT (B),"THE GRANTEE WILL REACH OUT TO STAKEHOLDER ORGANIZATIONS IN ARIZONA, HAWAII, AND NEVADA TO IDENTIFY AND ASSESS A PARTNERSHIP FOR A STATE-WIDE EFFORT TO PROMOTE LEAD SAFETY AND COMPLIANCE WITH EPA'S LEAD RENOVATION, REPAIR, AND PAINTING (RRP) RULE. THE PROJECT WILL FOCUS ON TRAINING CODE ENFORCEMENT OFFICERS AND CONNECTING THEM TO OTHER AGENCIES AND PROGRAMS WORKING ON LEAD POISONING PREVENTION. THE GRANTEE IN COLLABORATION WITH PROJECT PARTNERS WILL CONDUCT OUTREACH, PROVIDE FOUR RRP TRAINING CLASSES REACHING A TOTAL OF 68 CODE ENFORCEMENT OFFICERS, AND CONVENE PARTNERS AND STAKEHOLDERS FOR A ONE-DAY CONFERENCE TO PROMOTE COLLABORATION AND DEVELOP RECOMMENDATIONS FOR NEXT STEPS IN MOVING LEAD SAFETY EFFORTS FORWARD.  THIS AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $60,000. PREAWARD COSTS ARE APPROVED BACK TO 3/1/2020.",0
2022,CO,ASST_NON_83996902_6800,66.716,COLORADO STATE UNIVERSITY,FORMULA GRANT (A),"THIS PROJECT FOCUSES ON FOUR PRIMARY OBJECTIVES: TRAINING, NETWORKING, LEVERAGED LEARNING, AND EVALUATION. THIS PROJECT WILL DEVELOP WORKSHOPS AND MATERIALS COVERING TOPICS RELEVANT TO REGULATORY PROFESSIONALS IN SENIOR STAFF AND MANAGEMENT POSITIONS. THESE TRAINING OPPORTUNITIES WILL IMPROVE STAFF CAPACITY TO ADDRESS NONCOMPLIANCE ISSUES AND SAFETY GAPS, LEADING TO MORE EFFECTIVE PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT. WITHIN AND BEYOND THE IN-PERSON WORKSHOPS, THE PREP NETWORK HAS OUTLINED PLANS TO MAKE SPACE FOR NETWORKING AMONG ATTENDEES WHEREVER THEY ARE TO BUILD COMMUNITY AND FOSTER COOPERATION AMONG STATES, TRIBES, U.S. TERRITORIES, AND U.S. GOVERNMENT AGENCIES - AN IMPORTANT STEP TOWARD INCREASING EFFICIENCIES AND STRETCHING LIMITED REGULATORY DOLLARS. 

THE FISCAL LINE DETAILS FOR THIS ACTION ARE SHOWN IN WHOLE DOLLARS.  THE ACTUAL COSTS TO BE INCREASE ARE IN DOLLARS AND CENTS AS SHOWN BELOW:
REQ NO. 20E1M2R035 FY: 2020; APPROPRIATION CODE: E1; BO CODE: E1M; PRC: 00",1129472
2022,FL,ASST_NON_84043801_6800,66.714,UNIVERSITY OF FLORIDA,PROJECT GRANT (B),"DESCRIPTION:INSECT PESTS REDUCE PLANT HEALTH AND MARKETABILITY, WHICH FREQUENTLY REQUIRES CHEMICAL INTERVENTION TO PRODUCE A SALEABLE PRODUCT. POLLINATORS PLAY A CRITICAL ROLE IN U.S. AGRICULTURE AND ECOSYSTEM FUNCTIONING, BUT INSECTICIDES USED DURING CROP PRODUCTION CAN HARM THEM. MOST POLLINATOR TOXICOLOGICAL DATA FOCUS ON BEES. LEPIDOPTERAN POLLINATORS (I.E., BUTTERFLIES AND MOTHS) DIFFER IN SUSCEPTIBILITY TO INSECTICIDES COMPARED TO BEES AND HAVE DIFFERENT ROUTES OF EXPOSURE (E.G., LARVAL LEAF-FEEDING VERSUS NECTAR CONSUMPTION). CONSEQUENTLY, PRODUCTS COMPATIBLE WITH BEE CONSERVATION POSE AN UNKNOWN RISK TO LEPIDOPTERAN POLLINATORS, YET BOTH TAXA ARE PERVASIVE IN AGROECOSYSTEMS. FLORIDA'S ORNAMENTAL PLANT INDUSTRY HAS AN ESTIMATED ECONOMIC IMPACT OF $21 BILLION, RANKING SECOND IN THE NATION. ORNAMENTAL PLANTS ARE A MAJOR COMPONENT OF RAPIDLY EXPANDING URBAN LANDSCAPES WHERE 80% OF THE U.S. POPULATION RESIDES, THUS MAKING PESTICIDE USE DURING PRODUCTION AND PERENNIAL MAINTENANCE RELEVANT TO MOST PEOPLE AND TO FUTURE LANDSCAPES. WE WILL DEVELOP LEPIDOPTERA IPPM STRATEGIES FOR ORNAMENTAL PLANT PRODUCTION, USE OUR RESULTS TO CREATE A WILDLIFE-FRIENDLY PLANT PRODUCTION CERTIFICATION PROGRAM, AND INCREASE THE POSITIVE ENVIRONMENTAL AND ECOLOGICAL IMPACT OF ORNAMENTAL PLANT PRODUCTION.ACTIVITIES:1. REVIEW NOVEL DATA DOCUMENTING THE ACUTE, CHRONIC, LETHAL, AND SUBLETHAL EFFECTS OF PESTICIDES TO MONARCHS OVER TIME.
2. PUBLISH IN TWO SCIENTIFIC PUBLICATIONS DISCUSSING PROJECT RESULTS AND IMPLICATIONS SUBMITTED TO AN OPEN-SOURCE, PEER REVIEWED JOURNALS.
3. DISTILL AND REVIEW ANY NEW EVIDENCE-BASED IPPM RECOMMENDATIONS FOR CONTROLLING KEY SAP-FEEDING INSECT PESTS WHILE MITIGATING IMPACTS TO LEPIDOPTERAN POLLINATORS IN A PLANT PRODUCTION ENVIRONMENT.
4. DEVELOP A COST-BENEFIT ANALYSIS TO DETERMINE ECONOMIC VIABILITY AND EFFECTIVENESS OF IPPM RECOMMENDATIONS.
5. CONCEPTUALIZE AND PRODUCE FIVE WEB-BASED TRAINING MODULES TO CERTIFY INDUSTRY PROFESSIONALS IN THE USE OF IPPM STRATEGIES TO PROTECT INSECT POLLINATORS DURING ORNAMENTAL PLANT PRODUCTION.
6. PUBLISH IN TWO INDUSTRY TRADE JOURNAL ARTICLES AND TWO EXTENSION PUBLICATIONS DISSEMINATING OUR IPPM RECOMMENDATIONS.
7. PARTICIPATE IN ONE LOCAL, ONE STATEWIDE, ONE REGIONAL, AND ONE NATIONAL TRAINING EVENT TO INCREASE AWARENESS OF IPPM PRODUCTION PRACTICES.
8. DEVELOP FINAL REPORT SUMMARIZING ALL PROJECT ACTIVITIES, DATA, PUBLICATIONS, AND QUANTIFIED OUTCOMES.SUBRECIPIENT:THE APPLICANT HAS BUDGETED A SUBCONTRACT TO UF ICBR INSECTICIDE RESIDUE ANALYSIS. IN ADDITION TO QUANTIFYING EFFECTS OF INSECTICIDES ON MONARCHS VIA EXPOSURE THROUGH HERBIVORY,THE APPLICANT WILL QUANTIFY POTENTIAL EXPOSURE TO BUTTERFLIES AND OTHER POLLINATORS VIA THE MOVEMENT OF INSECTICIDES INTO MILKWEED NECTAR. TROPICAL MILKWEED FLOWERS ARE ACTIVELY VISITED BY BEES AND BUTTERFLIES, AND EVIDENCE SUGGESTS THAT SOME SYSTEMIC INSECTICIDES CAN REDUCE MONARCH ADULT LONGEVITY VIA NECTAR FEEDING AND THUS MAY SERVE AS ANOTHER ROUTE FOR NON-TARGET INSECTICIDE IMPACTS (JAMES 2019). WE WILL OBTAIN A. CURASSAVICA PLANTS (12 PER INSECTICIDE TREATMENT) THAT ARE IN FULL BLOOM, PRUNE OFF ALL FLOWERS, MAKE FOLIAR INSECTICIDE APPLICATIONS, AND MAINTAIN THE PLANTS USING STANDARD PRODUCTION PRACTICES TO PROMOTE NEW FLOWER DEVELOPMENT. TWO WEEKS, FOUR WEEKS, AND SIX WEEKS AFTER TREATMENT, THE APPLICANT WILL COLLECT NECTAR FROM ALL PLANTS DURING THE EARLY MORNING. THE APPLICANT WILL POOL NECTAR SAMPLES FROM EACH PLANT WITHIN A TREATMENT AND PRESERVE THEM IN MICRO-CENTRIFUGE VIALS IN A -80 FREEZER UNTIL PROCESSED FOR INSECTICIDE RESIDUE ANALYSIS. THE APPLICANT WILL USE EXISTING PARTNERSHIPS WITH THE UNIVERSITY OF FLORIDA INTERDISCIPLINARY CENTER FOR BIOTECHNOLOGY RESEARCH (UF ICBR) TO ANALYZE ALL NECTAR SAMPLES FOR INSECTICIDE RESIDUE CONCENTRATIONS.OUTCOMES:OBJ. 1: DETERMINE THE CHRONIC AND SUBLETHAL EFFECTS OF INSECTICIDES TO MONARCH LARVAE AND ADULTS AT APPLICATION RATES TARGETING KEY PESTS.
DELIVERABLE: APPLICANT WILL CONDUCT",129991
2022,ID,ASST_NON_00052721_6800,66.7,"AGRICULTURE, IDAHO DEPARTMENT OF",PROJECT GRANT (B),"DESCRIPTION:THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT ARE NOT LIMITED TO, ACTIVITIES SUCH AS COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, WATER QUALITY PROTECTION, WORKER PROTECTION, AND OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT; E.G. REDUCED PESTICIDE EXPOSURE, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES. ACTIVITIES:THE RECIPIENT WILL IMPLEMENT THE STATE'S PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT ARE NOT LIMITED TO, ACTIVITIES SUCH AS COMPLIANCE MONITORING, ENFORCEMENT, PESTICIDE INSPECTIONS, DRIFT MONITORING, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, WATER QUALITY PROTECTION, WORKER PROTECTION, RESPONDING TO INQUIRIES AND COMPLAINTS FROM THE PUBLIC, AND OUTREACH AND EDUCATION.  SUBRECIPIENT:NO SUBAWARDS ARE INCLUDED IN THIS ASSISTANCE AGREEMENT.OUTCOMES: 
THIS AGREEMENT WILL RESULT IN BETTER TRAINING AND EXPERTISE FOR THE STATE'S PESTICIDE INSPECTORS, BETTER PROTECTION FROM PESTICIDE RISKS FOR THE STATE'S CITIZENS, ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT, REDUCED PESTICIDE EXPOSURE, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES. THE STATE'S CITIZENS ARE THE DIRECT BENEFICIARIES.",481600
2022,ID,ASST_NON_00087014_6800,66.7,COEUR D'ALENE TRIBE,PROJECT GRANT (B),"DESCRIPTION:THIS COOPERATIVE AGREEMENT CONTINUES THE RECIPIENT'S IMPLEMENTATION OF ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT NOT LIMITED TO ACTIVITIES SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT (E.G. REDUCED PESTICIDE EXPOSURE TO AGRICULTURE WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, PROTECTION OF ENDANGERED SPECIES), AND PROTECTION OF THE PUBLIC. NOTE THAT YOU MAY NOT DRAW DOWN FUNDS FOR INDIRECT COSTS WITHOUT A CURRENT, APPROVED RATE IN PLACE.ACTIVITIES:THE RECIPIENT WILL IMPLEMENT ITS PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, INCLUDING, BUT NOT LIMITED TO ACTIVITIES SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION. THEY WILL RESPOND TO PUBLIC INQUIRIES, PROVIDE OUTREACH AND EDUCATION, AND RESPOND TO COMPLAINTS.SUBRECIPIENT:NO SUBAWARDS ARE INCLUDED IN THIS ASSISTANCE AGREEMENT.OUTCOMES:THIS COOPERATIVE AGREEMENT WILL RESULT IN IMPROVED PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS, IMPROVED COMPLIANCE MONITORING, ENFORCEMENT, TRAINING FOR PESTICIDE APPLICATORS, OUTREACH AND EDUCATION. THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT, REDUCED PESTICIDE EXPOSURE TO AGRICULTURE WORKERS AND HANDLERS, INCREASED PROTECTION OF WATER RESOURCES FROM PESTICIDES, PROTECTION OF ENDANGERED SPECIES, AND IMPROVED PROTECTIONS FROM THE PUBLIC. THE ENVIRONMENT, THE PUBLIC AND TRIBAL CITIZENS ARE THE BENEFICIARIES.",165149
2022,IN,ASST_NON_97541722_6800,66.7,PURDUE UNIVERSITY,PROJECT GRANT (B),"DESCRIPTION:THE WORK PROPOSED BY THE OFFICE OF INDIANA STATE CHEMIST HOUSED AT PURDUE UNIVERSITY IS TO PROTECT THE SURFACE/GROUND WATERS, AGRICULTURAL WORKERS, HANDLERS, AND ENDANGERED SPECIES FROM PESTICIDE.ACTIVITIES:ADDITIONAL BENEFITS INCLUDE REDUCED EXPOSURE TO TOXIC PESTICIDES, ENSURE CLEANER WATERS, AND FOSTER IMPROVED PESTICIDE COMPLIANCE.SUBRECIPIENT:NO SUBAWARDS ARE INCLUDED IN THIS ASSISTANCE AGREEMENT.OUTCOMES:THIS AGREEMENT WILL RESULT IN ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT (E.G. REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES). PROTECTING THE REGULATED COMMUNITY, HUMAN HEALTH AND THE ENVIRONMENT.",511000
