state,workers_requested,workers_certified,n_cases,year,workers_gap,demand_met_pct
KS,0.0,835.0,134,2010,-835.0,inf
KY,0.0,5652.0,651,2010,-5652.0,inf
LA,0.0,6973.0,524,2010,-6973.0,inf
MA,0.0,563.0,142,2010,-563.0,inf
MD,0.0,623.0,56,2010,-623.0,inf
ME,0.0,608.0,63,2010,-608.0,inf
MI,0.0,277.0,23,2010,-277.0,inf
MN,0.0,702.0,75,2010,-702.0,inf
MO,0.0,318.0,27,2010,-318.0,inf
MS,0.0,1903.0,97,2010,-1903.0,inf
MT,0.0,377.0,139,2010,-377.0,inf
NC,0.0,18299.0,1132,2010,-18299.0,inf
ND,0.0,923.0,247,2010,-923.0,inf
NE,0.0,225.0,29,2010,-225.0,inf
NH,0.0,180.0,50,2010,-180.0,inf
NJ,0.0,454.0,33,2010,-454.0,inf
