 ,establishments-2014,establishments-2015,establishments-2016,establishments-2017,establishments-2018,establishments-2019,inspections-epa-2011,inspections-state-2011,violations-2011,actions-epa-2011,actions-state-2011,penalties-epa-2011,inspections-epa-2012,inspections-state-2012,violations-2012,actions-epa-2012,actions-state-2012,penalties-epa-2012,inspections-epa-2013,inspections-state-2013,violations-2013,actions-epa-2013,actions-state-2013,penalties-epa-2013,inspections-epa-2014,inspections-state-2014,violations-2014,actions-epa-2014,actions-state-2014,penalties-epa-2014,inspections-epa-2015,inspections-state-2015,violations-2015,actions-epa-2015,actions-state-2015,penalties-epa-2015,inspections-epa-2016,inspections-state-2016,violations-2016,actions-epa-2016,actions-state-2016,penalties-epa-2016,inspections-epa-2017,inspections-state-2017,violations-2017,actions-epa-2017,actions-state-2017,penalties-epa-2017,inspections-epa-2018,inspections-state-2018,violations-2018,actions-epa-2018,actions-state-2018,penalties-epa-2018,inspections-epa-2019,inspections-state-2019,violations-2019,actions-epa-2019,actions-state-2019,penalties-epa-2019
Region 03,515,265,,,,,27,121,25,20,4,579750,20,106,22,21,8,201080,30,107,6,6,2,13900,39,121,6,5,25,13900,40,111,36,31,0,184127,,,,,,,,,,,,,,,,,,,,,,,,
Region 04,2911,3038,,,,,14,361,83,62,104,409293,21,336,84,60,67,347728,22,325,66,48,55,1558539,14,352,66,48,68,1558539,22,468,64,55,49,462234,,,,,,,,,,,,,,,,,,,,,,,,
Region 05,2890,1720,,,,,16,178,53,53,41,207156,28,183,61,55,41,6527728,14,153,52,48,82,1058092,16,246,52,46,102,1058092,8,239,65,64,85,1524151,,,,,,,,,,,,,,,,,,,,,,,,
Region 06,1063,1641,,,,,16,121,17,17,0,22000,12,82,25,22,0,193551,12,106,9,8,1,1533150,12,113,9,8,13,1533150,20,115,22,22,50,79300,,,,,,,,,,,,,,,,,,,,,,,,
Region 07,1989,858,,,,,4,71,27,21,62,216752,10,64,49,41,35,977335,6,74,45,34,54,256519,8,57,44,33,47,256519,7,20,31,24,28,237036,,,,,,,,,,,,,,,,,,,,,,,,
Region 08,823,1994,,,,,78,99,16,16,7,259090,88,202,26,23,14,24570,90,143,8,7,52,204785,110,121,8,7,43,204785,67,89,9,8,15,4000,,,,,,,,,,,,,,,,,,,,,,,,
Region 09,646,1594,,,,,9,88,26,26,25,661881,8,68,10,9,17,268780,12,90,12,12,41,471464,14,78,11,11,46,471464,47,88,30,23,38,225720,,,,,,,,,,,,,,,,,,,,,,,,
Region 10,473,356,,,,,15,21,14,14,17,138040,16,23,19,16,13,193060,12,28,17,15,11,463536,12,23,17,15,11,463536,15,19,12,9,13,45740,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
