state,year,Association / Joint Employer,Farm Labor Contractor,Owner / Operator (Direct),total_certified,pct_Farm Labor Contractor,pct_Owner / Operator (Direct),pct_Association / Joint Employer
OK,2022,184.0,270.0,807.0,1261.0,21.4,64.0,14.6
OR,2022,223.0,316.0,3237.0,3776.0,8.4,85.7,5.9
PA,2022,213.0,701.0,2064.0,2978.0,23.5,69.3,7.2
RI,2022,0.0,0.0,8.0,8.0,0.0,100.0,0.0
SC,2022,31.0,1720.0,6094.0,7845.0,21.9,77.7,0.4
SD,2022,2.0,1401.0,1248.0,2651.0,52.8,47.1,0.1
TN,2022,0.0,1035.0,5296.0,6331.0,16.3,83.7,0.0
TX,2022,460.0,4325.0,6870.0,11655.0,37.1,58.9,3.9
UT,2022,5.0,34.0,1905.0,1944.0,1.7,98.0,0.3
VA,2022,99.0,264.0,4703.0,5066.0,5.2,92.8,2.0
VT,2022,0.0,0.0,522.0,522.0,0.0,100.0,0.0
WA,2022,3183.0,3767.0,26099.0,33049.0,11.4,79.0,9.6
WI,2022,21.0,1353.0,1266.0,2640.0,51.2,48.0,0.8
WV,2022,0.0,0.0,287.0,287.0,0.0,100.0,0.0
WY,2022,0.0,60.0,552.0,612.0,9.8,90.2,0.0
AK,2023,0.0,0.0,57.0,57.0,0.0,100.0,0.0
AL,2023,24.0,331.0,1786.0,2141.0,15.5,83.4,1.1
AR,2023,133.0,387.0,6475.0,6995.0,5.5,92.6,1.9
AZ,2023,0.0,8863.0,2438.0,11301.0,78.4,21.6,0.0
CA,2023,35.0,28959.0,11764.0,40758.0,71.1,28.9,0.1
CO,2023,91.0,386.0,4005.0,4482.0,8.6,89.4,2.0
CT,2023,0.0,248.0,1174.0,1422.0,17.4,82.6,0.0
DE,2023,0.0,681.0,184.0,865.0,78.7,21.3,0.0
FL,2023,51.0,37697.0,14239.0,51987.0,72.5,27.4,0.1
GA,2023,3.0,25735.0,11798.0,37536.0,68.6,31.4,0.0
HI,2023,0.0,167.0,173.0,340.0,49.1,50.9,0.0
IA,2023,1.0,4402.0,1275.0,5678.0,77.5,22.5,0.0
ID,2023,244.0,298.0,6728.0,7270.0,4.1,92.5,3.4
IL,2023,5.0,2878.0,1926.0,4809.0,59.8,40.0,0.1
IN,2023,32.0,3741.0,1181.0,4954.0,75.5,23.8,0.6
KS,2023,2.0,882.0,1342.0,2226.0,39.6,60.3,0.1
KY,2023,16.0,669.0,7207.0,7892.0,8.5,91.3,0.2
LA,2023,1034.0,1395.0,10738.0,13167.0,10.6,81.6,7.9
MA,2023,0.0,12.0,547.0,559.0,2.1,97.9,0.0
MD,2023,0.0,318.0,1160.0,1478.0,21.5,78.5,0.0
ME,2023,65.0,140.0,1143.0,1348.0,10.4,84.8,4.8
MI,2023,11.0,8796.0,6287.0,15094.0,58.3,41.7,0.1
MN,2023,2.0,1012.0,2767.0,3781.0,26.8,73.2,0.1
MO,2023,15.0,584.0,1464.0,2063.0,28.3,71.0,0.7
MS,2023,34.0,644.0,6197.0,6875.0,9.4,90.1,0.5
MT,2023,7.0,172.0,1516.0,1695.0,10.1,89.4,0.4
NC,2023,182.0,9903.0,16061.0,26146.0,37.9,61.4,0.7
ND,2023,31.0,236.0,3231.0,3498.0,6.7,92.4,0.9
NE,2023,2.0,2271.0,1692.0,3965.0,57.3,42.7,0.1
NH,2023,0.0,0.0,314.0,314.0,0.0,100.0,0.0
NJ,2023,0.0,665.0,2194.0,2859.0,23.3,76.7,0.0
NM,2023,0.0,898.0,1294.0,2192.0,41.0,59.0,0.0
NV,2023,207.0,121.0,3248.0,3576.0,3.4,90.8,5.8
NY,2023,183.0,157.0,9579.0,9919.0,1.6,96.6,1.8
OH,2023,0.0,1681.0,2697.0,4378.0,38.4,61.6,0.0
OK,2023,3.0,337.0,823.0,1163.0,29.0,70.8,0.3
OR,2023,109.0,300.0,3940.0,4349.0,6.9,90.6,2.5
PA,2023,117.0,590.0,2349.0,3056.0,19.3,76.9,3.8
RI,2023,0.0,0.0,10.0,10.0,0.0,100.0,0.0
SC,2023,19.0,1538.0,5965.0,7522.0,20.4,79.3,0.3
SD,2023,2.0,1103.0,1596.0,2701.0,40.8,59.1,0.1
TN,2023,0.0,1072.0,5484.0,6556.0,16.4,83.6,0.0
TX,2023,333.0,4407.0,7335.0,12075.0,36.5,60.7,2.8
UT,2023,35.0,8.0,1865.0,1908.0,0.4,97.7,1.8
VA,2023,223.0,360.0,4453.0,5036.0,7.1,88.4,4.4
VT,2023,0.0,0.0,499.0,499.0,0.0,100.0,0.0
WA,2023,4948.0,3930.0,26802.0,35680.0,11.0,75.1,13.9
WI,2023,14.0,1405.0,1406.0,2825.0,49.7,49.8,0.5
WV,2023,0.0,16.0,333.0,349.0,4.6,95.4,0.0
WY,2023,0.0,49.0,636.0,685.0,7.2,92.8,0.0
AK,2024,0.0,0.0,61.0,61.0,0.0,100.0,0.0
AL,2024,45.0,310.0,1798.0,2153.0,14.4,83.5,2.1
AR,2024,161.0,661.0,6734.0,7556.0,8.7,89.1,2.1
