state,year,h2a_workers_cert,emp_farmworker,h2a_per_farmworker,h2a_per_farmworker_z
Louisiana,2017,8906.0,1150.0,7.7443478260869565,1.223470925777721
Louisiana,2018,10160.0,1520.0,6.684210526315789,0.9607156305470526
Louisiana,2019,11196.0,1290.0,8.679069767441861,1.4551419930180731
Maine,2011,647.0,340.0,1.9029411764705881,-0.224323175150188
Maine,2012,586.0,310.0,1.8903225806451613,-0.22745069728550213
Maine,2013,613.0,290.0,2.113793103448276,-0.1720634722466712
Maine,2014,640.0,300.0,2.1333333333333333,-0.16722042137634374
Maine,2015,666.0,280.0,2.3785714285714286,-0.10643809805840987
Maine,2016,700.0,200.0,3.5,0.17150825420126836
Maine,2017,724.0,270.0,2.6814814814814816,-0.031361765589117185
Maine,2018,745.0,280.0,2.6607142857142856,-0.03650892026059276
Maine,2019,986.0,260.0,3.792307692307692,0.24395678894019474
Maryland,2011,624.0,980.0,0.636734693877551,-0.5381527689476462
Maryland,2012,644.0,600.0,1.0733333333333333,-0.4299416868243453
Maryland,2013,626.0,540.0,1.1592592592592592,-0.4086449245658071
Maryland,2014,608.0,520.0,1.1692307692307693,-0.40617348332227643
Maryland,2015,657.0,700.0,0.9385714285714286,-0.46334245866701573
Maryland,2016,804.0,710.0,1.1323943661971831,-0.4153033950388202
Maryland,2017,777.0,920.0,0.8445652173913043,-0.48664192164929343
Maryland,2018,980.0,1060.0,0.9245283018867925,-0.4668230511325197
Maryland,2019,849.0,1120.0,0.7580357142857143,-0.5080882806629609
Massachusetts,2011,487.0,770.0,0.6324675324675325,-0.5392103859717131
Massachusetts,2012,452.0,670.0,0.6746268656716418,-0.5287611846794229
Massachusetts,2013,442.0,830.0,0.5325301204819277,-0.563979898558936
Massachusetts,2014,432.0,790.0,0.5468354430379747,-0.5604343207810432
Massachusetts,2015,459.0,960.0,0.478125,-0.5774642212946559
Massachusetts,2016,437.0,920.0,0.475,-0.5782387533272266
Massachusetts,2017,438.0,840.0,0.5214285714285715,-0.5667314202718897
Massachusetts,2018,450.0,860.0,0.5232558139534884,-0.5662785377545061
Massachusetts,2019,466.0,1090.0,0.42752293577981654,-0.5900059555835311
Michigan,2011,276.0,1130.0,0.24424778761061947,-0.6354307469535135
Michigan,2012,344.0,1310.0,0.26259541984732826,-0.6308832817089828
Michigan,2013,830.5,1360.0,0.6106617647058824,-0.544614950972096
Michigan,2014,1317.0,1430.0,0.920979020979021,-0.4677027412943312
Michigan,2015,2226.0,1600.0,1.39125,-0.35114596137748005
Michigan,2016,3878.0,2010.0,1.9293532338308457,-0.21777694011927093
Michigan,2017,6432.0,2470.0,2.604048582995951,-0.05055352886970698
Michigan,2018,8359.0,2650.0,3.1543396226415092,0.08583624311178115
Michigan,2019,9096.0,2100.0,4.331428571428572,0.3775780338383802
Minnesota,2011,512.0,680.0,0.7529411764705882,-0.5093509631362274
Minnesota,2012,765.0,680.0,1.125,-0.4171360905525088
Minnesota,2013,871.5,920.0,0.9472826086956522,-0.4611833904917502
Minnesota,2014,978.0,860.0,1.1372093023255814,-0.4141100119136277
Minnesota,2015,1177.0,840.0,1.401190476190476,-0.3486822118643502
Minnesota,2016,1296.0,740.0,1.7513513513513514,-0.26189475126751544
Minnesota,2017,1660.0,780.0,2.128205128205128,-0.16849144830158808
Minnesota,2018,2014.0,1050.0,1.918095238095238,-0.22056723718159832
Minnesota,2019,2006.0,940.0,2.1340425531914895,-0.167044641056895
Mississippi,2011,1965.0,750.0,2.62,-0.04659996617065745
Mississippi,2012,2502.0,630.0,3.9714285714285715,0.28835194368622863
Mississippi,2013,2848.5,720.0,3.95625,0.2845899309565992
Mississippi,2014,3195.0,730.0,4.376712328767123,0.38880162443481836
Mississippi,2015,3684.0,640.0,5.75625,0.7307203817173565
Mississippi,2016,3925.0,490.0,8.010204081632653,1.2893634652911479
Mississippi,2017,4310.0,530.0,8.132075471698114,1.3195693198382281
Mississippi,2018,4552.0,670.0,6.794029850746269,0.9879343776083924
Mississippi,2019,4870.0,640.0,7.609375,1.1900178770318168
Missouri,2011,242.0,790.0,0.30632911392405066,-0.6200438746801599
Missouri,2012,250.0,920.0,0.2717391304347826,-0.62861701075009
Missouri,2013,422.5,1500.0,0.2816666666666667,-0.6261564684089377
Missouri,2014,595.0,1420.0,0.41901408450704225,-0.5921148765022972
Missouri,2015,839.0,1240.0,0.6766129032258065,-0.5282689447742744
Missouri,2016,846.0,780.0,1.0846153846153845,-0.4271454275888078
Missouri,2017,828.0,690.0,1.2,-0.39854732177081054
Missouri,2018,1279.0,880.0,1.4534090909090909,-0.33573981512961804
Missouri,2019,1408.0,1010.0,1.394059405940594,-0.350449649411565
Montana,2011,450.0,210.0,2.142857142857143,-0.16485994280089
Montana,2012,501.0,260.0,1.926923076923077,-0.21837925511742773
Montana,2013,538.0,270.0,1.9925925925925927,-0.20210304921360459
Montana,2014,575.0,260.0,2.2115384615384617,-0.14783726076636777
Montana,2015,614.0,300.0,2.046666666666667,-0.18870077641297275
Montana,2016,630.0,380.0,1.6578947368421053,-0.28505799657728453
Montana,2017,740.0,410.0,1.8048780487804879,-0.24862814590540697
Montana,2018,878.0,330.0,2.6606060606060606,-0.036535743880768336
Montana,2019,984.0,310.0,3.174193548387097,0.09075704357969759
Nebraska,2011,234.0,650.0,0.36,-0.6067415321258307
Nebraska,2012,281.0,740.0,0.37972972972972974,-0.6018515136715461
Nebraska,2013,407.0,940.0,0.4329787234042553,-0.5886537372545612
Nebraska,2014,533.0,900.0,0.5922222222222222,-0.5491851961943501
Nebraska,2015,703.0,950.0,0.74,-0.5125584369652263
Nebraska,2016,967.0,800.0,1.20875,-0.3963786320796124
Nebraska,2017,1245.0,770.0,1.6168831168831168,-0.29522273685435807
Nebraska,2018,2313.0,490.0,4.720408163265306,0.47398672308441225
Nebraska,2019,2488.0,560.0,4.442857142857143,0.40519563317118895
Nevada,2011,1864.0,60.0,31.066666666666666,7.003913490852127
Nevada,2012,2127.0,60.0,35.45,8.090323755204711
Nevada,2013,2005.0,70.0,28.642857142857142,6.403171693399149
Nevada,2014,1883.0,80.0,23.5375,5.137807647044978
Nevada,2015,1940.0,150.0,12.933333333333334,2.5095622831882007
Nevada,2016,2094.0,200.0,10.47,1.8990244996470902
Nevada,2017,2506.0,220.0,11.39090909090909,2.1272720484453966
Nevada,2018,2630.0,390.0,6.743589743589744,0.9754327844183027
Nevada,2019,2787.0,560.0,4.976785714285715,0.5375299633075644
New Hampshire,2011,205.0,190.0,1.0789473684210527,-0.42855024682197257
New Hampshire,2012,153.0,210.0,0.7285714285714285,-0.5153910112557708
New Hampshire,2013,158.0,210.0,0.7523809523809524,-0.5094898148171364
New Hampshire,2014,163.0,180.0,0.9055555555555556,-0.4715254510619221
New Hampshire,2015,166.0,200.0,0.83,-0.4902519144271884
New Hampshire,2016,169.0,170.0,0.9941176470588236,-0.4495753145048841
New Hampshire,2017,177.0,180.0,0.9833333333333333,-0.4522482093623832
New Hampshire,2018,186.0,250.0,0.744,-0.5115670359635358
New Hampshire,2019,217.0,250.0,0.868,-0.48083360491112803
New Jersey,2011,457.0,1580.0,0.2892405063291139,-0.6242792903519391
New Jersey,2012,545.0,1660.0,0.32831325301204817,-0.6145951003018734
New Jersey,2013,596.5,1680.0,0.3550595238095238,-0.6079660303868473
New Jersey,2014,648.0,1690.0,0.3834319526627219,-0.6009339167904835
New Jersey,2015,806.0,2580.0,0.3124031007751938,-0.6185384355180402
New Jersey,2016,1016.0,3460.0,0.29364161849710985,-0.6231884735989632
New Jersey,2017,1197.0,3160.0,0.3787974683544304,-0.6020825748868733
New Jersey,2018,1443.0,2400.0,0.60125,-0.546947659211368
New Jersey,2019,2150.0,3030.0,0.7095709570957096,-0.520100282869176
New Mexico,2011,474.0,1720.0,0.2755813953488372,-0.6276647044289515
New Mexico,2012,226.0,2090.0,0.10813397129186603,-0.6691665904140982
New Mexico,2013,199.0,2040.0,0.09754901960784314,-0.6717900733396949
New Mexico,2014,172.0,2430.0,0.07078189300411522,-0.6784243123715235
