state,year,violations,time,time2,time3,spending_2017,spending_2017m
Massachusetts,2018,5.0,1,1,1,379237.21760046517,0.3792372176004652
Michigan,2018,16.0,1,1,1,488078.78713058576,0.4880787871305858
Minnesota,2018,15.0,1,1,1,0.0,0.0
Montana,2018,1.0,1,1,1,208897.72089189073,0.20889772089189074
New Mexico,2018,4.0,1,1,1,461360.37816548324,0.46136037816548325
New York,2018,10.0,1,1,1,0.0,0.0
North Dakota,2018,1.0,1,1,1,147399.7937134369,0.1473997937134369
Oklahoma,2018,7.0,1,1,1,616967.704763308,0.6169677047633081
Oregon,2018,11.0,1,1,1,931935.683831992,0.931935683831992
South Carolina,2018,13.0,1,1,1,498258.15831498126,0.49825815831498127
Texas,2018,51.0,1,1,1,1050475.3788623973,1.0504753788623973
Vermont,2018,1.0,1,1,1,295287.6662140044,0.2952876662140044
Washington,2018,15.0,1,1,1,1152617.5789603635,1.1526175789603634
Wyoming,2018,2.0,1,1,1,2733.2412079312803,0.0027332412079312802
Arkansas,2019,6.0,2,4,8,497335.9649843345,0.49733596498433447
California,2019,47.0,2,4,8,669231.665864811,0.6692316658648111
Colorado,2019,17.0,2,4,8,0.0,0.0
Idaho,2019,6.0,2,4,8,538997.0743613513,0.5389970743613514
Indiana,2019,20.0,2,4,8,620908.9209370367,0.6209089209370368
Louisiana,2019,3.0,2,4,8,461990.36990968365,0.4619903699096837
Maine,2019,3.0,2,4,8,336456.69940584456,0.33645669940584455
Maryland,2019,8.0,2,4,8,158199.46256116594,0.15819946256116593
Massachusetts,2019,10.0,2,4,8,491779.80810226203,0.491779808102262
Michigan,2019,13.0,2,4,8,479392.3107914119,0.4793923107914119
Montana,2019,5.0,2,4,8,205179.9090187243,0.20517990901872432
New Hampshire,2019,3.0,2,4,8,280032.22442569537,0.28003222442569536
New Mexico,2019,2.0,2,4,8,410598.5554082227,0.4105985554082227
North Dakota,2019,18.0,2,4,8,144776.4778590064,0.1447764778590064
Oklahoma,2019,6.0,2,4,8,597896.1724498058,0.5978961724498058
Oregon,2019,8.0,2,4,8,1424263.049945826,1.424263049945826
South Carolina,2019,9.0,2,4,8,427049.38194534084,0.4270493819453408
South Dakota,2019,15.0,2,4,8,360501.1001458986,0.3605011001458986
Texas,2019,53.0,2,4,8,991841.5977657564,0.9918415977657564
Vermont,2019,2.0,2,4,8,279073.43980411254,0.27907343980411253
Washington,2019,17.0,2,4,8,1164081.5023253812,1.1640815023253812
