cell,window,outcome,model,family,family_label,converged,zi_tier_reached,zi_degenerate,zi_degenerate_reason,collapsed_to,eligible,n_obs,n_states,n_years,aic,bic,loglik,df,delta_aic_to_winner,is_winner,obs_zeros,exp_zeros,exp_zeros_se,message
viol_2019,2019,violations,M3,nbinom2,NB2,True,,False,,,True,378,47,9,2316.6747656945,2371.7632844332,-1144.3373828472,14,0.0,True,7,23.2095,0.13165854268,
viol_2019,2019,violations,M3,zip,ZIP,True,intercept,True,|zi_intercept| > 15; se(zi_intercept) > 100; loglik matches non-ZI counterpart within 1e-4,,False,378,47,9,2842.1853737918,2897.2738925305,-1407.0926868959,14,525.5106080973001,False,7,18.341,0.12903753269,NA/NaN function evaluation
viol_2019,2019,violations,M3,zinb1,ZI-NB1,True,intercept,True,|zi_intercept| > 15; se(zi_intercept) > 100; loglik matches non-ZI counterpart within 1e-4,,False,378,47,9,2404.7100793666,2463.7334923009,-1187.3550396833,15,88.03531367210007,False,7,35.8705,0.17242746443,NA/NaN function evaluation
viol_2019,2019,violations,M3,zinb2,ZI-NB2,True,intercept,True,|zi_intercept| > 15; se(zi_intercept) > 100; loglik matches non-ZI counterpart within 1e-4,,False,378,47,9,2318.6747659561,2377.6981788904,-1144.3373829781,15,2.000000261600235,False,7,23.06,0.13180434816,
viol_2019,2019,violations,M3,zinb1_re,ZI-NB1 + ZI-RE,False,intercept,True,|zi_intercept| > 15,,False,378,47,9,,,,16,,False,7,35.8345,0.16673618489,"NA/NaN function evaluation | failed to invert Hessian from numDeriv::jacobian(), falling back to internal vcov estimate"
viol_2019,2019,violations,M3,zinb2_re,ZI-NB2 + ZI-RE,False,intercept,True,|zi_intercept| > 15,,False,378,47,9,,,,16,,False,7,23.1505,0.13370064625,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
viol_2021,2021,violations,M1,poisson,Poisson,True,,False,,,True,533,49,11,7118.9777912397,7148.9274412089,-3552.4888956199,7,3327.0676873777,False,93,36.251,0.22848654786,
viol_2021,2021,violations,M1,nbinom1,NB1,True,,False,,,True,533,49,11,3896.7836785106,3931.0118499039,-1940.3918392553,8,104.87357464859997,False,93,114.3735,0.37295649498,
viol_2021,2021,violations,M1,nbinom2,NB2,True,,False,,,True,533,49,11,3903.4848785089,3937.7130499022,-1943.7424392544,8,111.57477464689964,False,93,51.6345,0.229519704,
viol_2021,2021,violations,M1,zip,ZIP,True,mirror,False,,,True,533,49,11,6450.8645228623,6502.2067799523,-3213.4322614311,12,2658.9544190003,False,93,93.365,0.21946974959,
viol_2021,2021,violations,M1,zinb1,ZI-NB1,True,mirror,False,,,True,533,49,11,3885.6634261689,3941.2842046831,-1929.8317130845,13,93.75332230689992,False,93,117.496,0.33435892383,
viol_2021,2021,violations,M1,zinb2,ZI-NB2,True,mirror,False,,,True,533,49,11,3826.0873211952,3881.7080997094,-1900.0436605976,13,34.17721733319968,False,93,84.5335,0.21635351464,
viol_2021,2021,violations,M1,zinb1_re,ZI-NB1 + ZI-RE,False,intercept,False,,,False,533,49,11,,,,10,,False,93,120.32,0.36526566976,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
viol_2021,2021,violations,M1,zinb2_re,ZI-NB2 + ZI-RE,True,mirror,False,,,True,533,49,11,3791.910103862,3851.8094038004,-1881.955051931,14,0.0,True,93,85.866,0.30073783204,
viol_2021,2021,violations,M3,poisson,Poisson,True,,False,,,True,501,46,11,6763.6679493136,6818.4838286277,-3368.8339746568,13,3171.6161663737,False,86,29.4085,0.18243479685,
viol_2021,2021,violations,M3,nbinom1,NB1,True,,False,,,True,501,46,11,3684.0731893734,3743.1056747886,-1828.0365946867,14,92.02140643350003,False,86,100.999,0.31243448458,
viol_2021,2021,violations,M3,nbinom2,NB2,True,,False,,,True,501,46,11,3690.6521128864,3749.6845983016,-1831.3260564432,14,98.6003299465001,False,86,46.4235,0.19223956903,
viol_2021,2021,violations,M3,zip,ZIP,True,mirror,False,,,True,501,46,11,6124.2702238108,6225.4687702368,-3038.1351119054,24,2532.2184408709004,False,86,86.233,0.18560328604,
viol_2021,2021,violations,M3,zinb1,ZI-NB1,True,reduced,False,,,True,501,46,11,3678.5849483807,3754.4838582002,-1821.2924741903,18,86.53316544080008,False,86,103.1905,0.29300005015,
viol_2021,2021,violations,M3,zinb2,ZI-NB2,True,mirror,False,,,True,501,46,11,3607.1247520987,3712.5399046258,-1778.5623760494,25,15.072969158799879,False,86,78.415,0.18874109012,
viol_2021,2021,violations,M3,zinb1_re,ZI-NB1 + ZI-RE,True,reduced,False,,,True,501,46,11,3680.5849489425,3760.7004648631,-1821.2924744712,19,88.53316600259996,False,86,102.653,0.29900919509,
viol_2021,2021,violations,M3,zinb2_re,ZI-NB2 + ZI-RE,True,mirror,False,,,True,501,46,11,3592.0517829399,3701.6835415681,-1770.0258914699,26,0.0,True,86,78.143,0.24513429158,
