state,year,time,time2,time3,violations,inspections,log_violations,log_inspections,SPEND_APP_z,SPEND_WORK_z,lii_2017_z,dol_demand_met_pct_z,pct_flc_z,h2a_per_farmworker_z
New Mexico,2015,-2,4,-8,2.0,13.0,1.0986122886681098,2.6390573296152584,3.0070082081313863,-0.2278545341182301,-0.23350650338080953,-3.103943521055168,0.22604622363146562,-0.6663227884039012
New Mexico,2016,-1,1,-1,2.0,13.0,1.0986122886681098,2.6390573296152584,3.0070082081313863,-0.2278545341182301,-0.23350650338080953,-3.103943521055168,0.22604622363146562,-0.642916529350439
New Mexico,2017,0,0,0,1.0,9.0,0.6931471805599453,2.302585092994046,3.0070082081313863,-0.2278545341182301,-0.23350650338080953,-3.103943521055168,0.22604622363146562,-0.6264655590475766
New Mexico,2018,1,1,1,4.0,6.0,1.6094379124341003,1.9459101490553132,3.0070082081313863,-0.2278545341182301,-0.23350650338080953,-3.103943521055168,0.22604622363146562,-0.623541920358072
New Mexico,2019,2,4,8,2.0,2.0,1.0986122886681098,1.0986122886681098,3.0070082081313863,-0.2278545341182301,-0.23350650338080953,-3.103943521055168,0.22604622363146562,-0.5976168541166405
New York,2011,-6,36,-216,2.0,66.0,1.0986122886681098,4.204692619390966,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,0.074070942012214
New York,2012,-5,25,-125,13.0,74.0,2.6390573296152584,4.31748811353631,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,-0.1923249587119705
New York,2013,-4,16,-64,5.0,39.0,1.791759469228055,3.6888794541139363,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,-0.126318358191842
New York,2014,-3,9,-27,5.0,39.0,1.791759469228055,3.6888794541139363,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,-0.044121463666431
New York,2015,-2,4,-8,9.0,16.0,2.302585092994046,2.833213344056216,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,0.0615339814089459
New York,2016,-1,1,-1,16.0,9.0,2.833213344056216,2.302585092994046,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,0.17480246639043
New York,2017,0,0,0,11.0,12.0,2.4849066497880004,2.5649493574615367,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,0.0446861780109809
New York,2018,1,1,1,10.0,18.0,2.3978952727983707,2.9444389791664403,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,-0.0705533883990037
New York,2019,2,4,8,18.0,10.0,2.9444389791664403,2.3978952727983707,0.1645198430971143,-0.1688051320917916,0.06923056003450803,0.15532016713532718,-1.1091756955850682,0.1853618926528396
North Carolina,2011,-6,36,-216,19.0,83.0,2.995732273553991,4.430816798843313,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,1.0929838448151543
North Carolina,2012,-5,25,-125,20.0,62.0,3.044522437723423,4.143134726391533,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,1.2456608905227473
North Carolina,2013,-4,16,-64,18.0,60.0,2.9444389791664403,4.110873864173311,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,1.4128718664033124
