state,year,spending_nominal,cpi_deflator,spending_2017,spending_2017m
New Jersey,2011,99688,1.089717656786951,108631.77376977757,0.10863177376977758
New Jersey,2012,0,1.0676237183898534,0.0,0.0
New Mexico,2011,690714,1.089717656786951,752683.2415899421,0.7526832415899422
New Mexico,2012,718131,1.0676237183898534,766693.6885110238,0.7666936885110238
New Mexico,2013,100745,1.0522113523096537,106005.03268843605,0.10600503268843606
New Mexico,2014,518934,1.0354149770208165,537312.0356853204,0.5373120356853204
New Mexico,2015,500155,1.0341874211554445,517254.0096280013,0.5172540096280013
New Mexico,2016,436773,1.0213035453132617,446077.8133971093,0.4460778133971093
New Mexico,2017,524909,1.0,524909.0,0.524909
New Mexico,2018,472629,0.9761575742611716,461360.37816548324,0.46136037816548325
New Mexico,2019,428249,0.9587846215828238,410598.5554082227,0.4105985554082227
New York,2011,1091105,1.089717656786951,1188996.3839085263,1.1889963839085262
New York,2012,882995,1.0676237183898534,942706.4052196486,0.9427064052196487
New York,2013,307942,1.0522113523096537,324020.0682529394,0.3240200682529394
New York,2014,534058,1.0354149770208165,552971.6517977832,0.5529716517977832
New York,2015,635409,1.0341874211554445,657131.9950889598,0.6571319950889598
New York,2016,574180,1.0213035453132617,586412.0696479686,0.5864120696479687
New York,2017,654046,1.0,654046.0,0.654046
New York,2018,0,0.9761575742611716,0.0,0.0
North Carolina,2011,75000,1.089717656786951,81728.82425902133,0.08172882425902134
North Carolina,2012,65000,1.0676237183898534,69395.54169534046,0.06939554169534046
North Carolina,2013,114999,1.0522113523096537,121003.25330425786,0.12100325330425786
North Carolina,2014,65000,1.0354149770208165,67301.97350635307,0.06730197350635307
North Carolina,2015,105000,1.0341874211554445,108589.67922132167,0.10858967922132166
North Carolina,2016,0,1.0213035453132617,0.0,0.0
North Dakota,2011,53000,1.089717656786951,57755.03580970841,0.05775503580970841
North Dakota,2012,404404,1.0676237183898534,431751.3022117303,0.43175130221173025
North Dakota,2013,602643,1.0522113523096537,634107.8059899466,0.6341078059899465
North Dakota,2014,43375,1.0354149770208165,44911.12462827792,0.04491112462827792
North Dakota,2015,83823,1.0341874211554445,86688.69220351282,0.08668869220351283
