model,transform,n_obs,n_states,pseudo_r2_pct,shapiro_w,shapiro_p,resid_skew,resid_kurtosis,bp_r2,b__SPEND_APP_z,p__SPEND_APP_z,b__SPEND_WORK_z,p__SPEND_WORK_z,b__lii_2017_z,p__lii_2017_z,b__h2a_per_farmworker_z,p__h2a_per_farmworker_z,b__dol_demand_met_pct_z,p__dol_demand_met_pct_z,b__pct_flc_z,p__pct_flc_z,b__SPEND_AREA_z,p__SPEND_AREA_z,b__pct_flc_z:time,p__pct_flc_z:time
targeted_fifra,log,320,39,63.47799469831315,0.9966136034841337,0.7369091506741743,-0.04461239049906144,0.23384189755273566,0.0012612447782562874,-0.3945556810807207,0.00463130937336914,-0.3959641971878725,0.000718918523469628,,,,,,,,,0.22559305248612085,0.08647611279627639,,
targeted_fifra,sqrt,320,39,65.2117425684762,0.952153058123125,1.061077386175859e-08,1.02232090810635,5.208125695302993,0.10245589348062223,-0.5517196272445897,0.014678786364051942,-0.541925705366732,0.004000652703876718,,,,,,,,,0.2999018653953903,0.15208923906628455,,
targeted_fifra,anscombe,320,39,64.76569036530249,0.9487374440166754,4.104867952949674e-09,1.085631131506031,5.642858734776411,0.10976538957011062,-1.0477172416633336,0.01685931417623236,-1.0094158992746964,0.005685559392809844,,,,,,,,,0.5505457869201168,0.1748243676053861,,
targeted_fifra,boxcox,320,39,64.08212788574308,0.9942998312276294,0.2768346862519612,-0.1616710947410261,0.3367922616940562,0.004300946442589382,-0.31933204348914285,0.004064823484223113,-0.33068759181658725,0.00040705576709180097,,,,,,,,,0.1902613409877679,0.07056492950827487,,
final_labor,raw,375,47,14.164084329898923,0.7194213746488763,1.2765979009218522e-24,4.4226416085307205,46.96250441301534,0.11325292100056628,,,,,0.102800689642747,0.9558451942483612,-0.030006518753911936,0.9806729321885672,1.683327457840945,0.23072778011346995,2.7285567565127717,0.05122752349831341,,,,
final_labor,log,375,47,57.99408307219585,0.9972183021115986,0.779344197832109,-0.04905942495514062,0.1947137742093772,0.0029079952416600774,,,,,-0.03907156321408453,0.8263781890228733,-0.12541530008350255,0.2834309054980456,0.21918137432138043,0.0891458252128671,0.4812004060019344,0.00010053136243765112,,,,
final_labor,sqrt,375,47,53.68241736894366,0.9497334168946968,5.431817757546322e-10,1.0334780532102399,5.4767229571766975,0.10717258690989062,,,,,0.008343356558526648,0.9752346153300748,-0.10158439349656885,0.5669465253164189,0.3099680391059951,0.11627852210920439,0.5952354213491222,0.0021879883601791197,,,,
final_labor,anscombe,375,47,53.2163224235782,0.9436610176253858,9.655080669096517e-11,1.131562885541454,6.1276277977545845,0.11731954292645552,,,,,0.02329285215620931,0.9637828846439276,-0.18778594653914885,0.5793834367135213,0.5972162326439374,0.11314111940974264,1.1131351102737113,0.0027027089509906654,,,,
final_labor,boxcox,375,47,58.24336818155037,0.9943526343467596,0.18143100908404933,-0.18501135677991873,0.23636826924152432,0.0021883669485771584,,,,,-0.04337452049692407,0.7644162219472626,-0.1130807628752238,0.23336879671161437,0.17419381262299846,0.09643555316932276,0.401245136579145,5.568471333447199e-05,,,,
paper_M1,raw,394,50,0.0,0.718434565128548,3.0995476038088997e-25,4.249378907572751,42.32161011593716,0.12009685535763326,,,,,,,,,,,,,,,,
paper_M1,log,394,50,0.0,0.997222479841822,0.7486482905590635,0.00486329758829478,-0.0319678966139878,8.446948829943235e-05,,,,,,,,,,,,,,,,
paper_M1,sqrt,394,50,0.0,0.9599862740179808,7.019808787458886e-09,0.9074029395353354,3.348356028212687,0.11394642536416277,,,,,,,,,,,,,,,,
paper_M1,anscombe,394,50,0.0,0.9519464660349205,5.036093230684318e-10,1.0291232962719616,3.896852867348156,0.12811980385588662,,,,,,,,,,,,,,,,
paper_M1,boxcox,394,50,0.0,0.9959505105191014,0.4104989008007801,-0.1417954845465019,0.1124607208958448,0.009811653531820674,,,,,,,,,,,,,,,,
paper_M2,raw,320,39,27.161131588372196,0.7313517325040227,2.1360999256523427e-22,4.121881506458878,37.57690363147336,0.11190355884963499,-1.5879619956789424,0.5597679210827977,-2.1004745388858206,0.27658245505553836,0.16118948957953527,0.9458788187527747,,,,,,,,,,
paper_M2,log,320,39,30.983465587388213,0.9966255249755858,0.73961186049628,0.0041182830394406525,0.07375621649991526,0.000406446245908354,-0.246698747533396,0.04410052636021349,-0.3048517872508094,0.0076817660851963235,-0.010474278192209138,0.9458981922841936,,,,,,,,,,
paper_M2,sqrt,320,39,24.782223440540278,0.9555376562204352,2.83367828421674e-08,0.9875135738427067,3.7833788798365617,0.10918829951638886,-0.3081509781459509,0.10496935141693868,-0.3857469272354223,0.02707684632310587,0.06428745236567503,0.777367225280985,,,,,,,,,,
paper_M2,anscombe,320,39,23.85686219773179,0.9508421283695659,7.334919950298783e-09,1.0548855176169947,4.140084540537858,0.11749418615699858,-0.5879948089307451,0.10876118306717185,-0.7163739674400645,0.03326511099713585,0.12490423910642787,0.775284929781732,,,,,,,,,,
