cell,window,outcome,model,family,zi_tier_reached,block,term,label,b,se,z,p,stars,irr,odds_ratio
insp_2021,2021,inspections,M2,zinb2,mirror,conditional,time3,time³,3.7852062911e-05,0.0009298562229,0.040707436245,0.96752913324,,1.0000378527793095,
insp_2021,2021,inspections,M2,zinb2,mirror,conditional,SPEND_APP_z,STAG $ per applicator (z),-0.02587059762,0.15194514807,-0.1702627425,0.86480351057,,0.9744611790462229,
insp_2021,2021,inspections,M2,zinb2,mirror,conditional,SPEND_WORK_z,STAG $ per farmworker (z),0.22426213133,0.17318268528,1.2949454558,0.19533904615,,1.2513990073246832,
insp_2021,2021,inspections,M2,zinb2,mirror,conditional,lii_2017_z,Labor intensity index 2017 (z),0.082818238499,0.2301274175,0.35987992826,0.7189369277,,1.0863443350253028,
insp_2021,2021,inspections,M2,zinb2,mirror,zero_inflated,(Intercept),Intercept,-4.4910988165,1.1373411362,-3.9487702269,7.8553706612e-05,***,,
insp_2021,2021,inspections,M2,zinb2,mirror,zero_inflated,time,time,2.3161608935,2.1314199622,1.0866750497,0.27718044434,,,10.136683701134787
insp_2021,2021,inspections,M2,zinb2,mirror,zero_inflated,time2,time²,-1.8537537522,1.4845170759,-1.2487251122,0.21176563266,,,0.15664804335721347
insp_2021,2021,inspections,M2,zinb2,mirror,zero_inflated,time3,time³,0.31952694697,0.25924255381,1.2325405003,0.21774724745,,,1.3764764639363003
insp_2021,2021,inspections,M2,zinb2,mirror,zero_inflated,SPEND_APP_z,STAG $ per applicator (z),0.83620944323,0.32524558484,2.5710093609,0.010140258601,*,,2.3076032764006555
insp_2021,2021,inspections,M2,zinb2,mirror,zero_inflated,SPEND_WORK_z,STAG $ per farmworker (z),-2.1021388328,1.6091409427,-1.3063733431,0.19142562645,,,0.1221947943230184
insp_2021,2021,inspections,M2,zinb2,mirror,zero_inflated,lii_2017_z,Labor intensity index 2017 (z),0.48223508745,0.67693431417,0.71238091695,0.47622892923,,,1.6196905094600962
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,(Intercept),Intercept,3.6824804142,0.15107438986,24.3752790768,3.1283173966e-131,***,,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,time,time,-0.049400473908,0.016588745465,-2.9779511665,0.0029018221452,**,0.9517998823452747,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,time2,time²,-0.0033825975645,0.0037751266541,-0.89602227274,0.3702408678,,0.9966231169734984,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,time3,time³,-0.00011384434448,0.00092499444838,-0.12307570568,0.90204714906,,0.9998861621355415,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,SPEND_APP_z,STAG $ per applicator (z),-0.002261143315,0.16502674646,-0.01370167784,0.98906798485,,0.9977414111438503,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,SPEND_WORK_z,STAG $ per farmworker (z),0.17172436996,0.17323061521,0.99130497086,0.32153668647,,1.1873505186361673,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,lii_2017_z,Labor intensity index 2017 (z),0.066479584258,0.23326273244,0.28499873753,0.77564510914,,1.068739144749801,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,h2a_per_farmworker_z,H-2A per farmworker (z),0.087396650205,0.03976651841,2.1977445776,0.027967312937,*,1.091329469937412,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,dol_demand_met_pct_z,DOL demand met % (z),0.12228698678,0.21381492099,0.57192915355,0.56736997229,,1.1300783728007027,
insp_2021,2021,inspections,M3,zinb2,mirror,conditional,pct_flc_z,% farm labor contractor (z),-0.013564680323,0.18443209295,-0.073548372773,0.94136975237,,0.9865269053752108,
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,(Intercept),Intercept,-6.8064211708,2.2016069363,-3.0915696433,0.0019910127172,**,,
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,time,time,2.7119876447,2.296679048,1.1808300542,0.23767024224,,,15.059178082692856
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,time2,time²,-2.0804814289,1.5933462236,-1.3057309191,0.1916440795,,,0.12487008165939793
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,time3,time³,0.35485096289,0.27696055252,1.2812328675,0.20011188479,,,1.4259681162768465
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,SPEND_APP_z,STAG $ per applicator (z),1.3041703601,0.6356457266,2.0517252072,0.040196375561,*,,3.6846309084657456
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,SPEND_WORK_z,STAG $ per farmworker (z),-3.0364034598,2.5358507647,-1.1973904388,0.2311544086,,,0.04800723934302652
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,lii_2017_z,Labor intensity index 2017 (z),-0.25147509254,0.85851090092,-0.29292009254,0.7695832305,,,0.7776528267252243
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,h2a_per_farmworker_z,H-2A per farmworker (z),-4.1625671687,3.1570461672,-1.3185005693,0.18733613461,,,0.015567542071500634
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,dol_demand_met_pct_z,DOL demand met % (z),1.6606239322,0.96597054684,1.7191248094,0.085591648222,+,,5.262593321747714
insp_2021,2021,inspections,M3,zinb2,mirror,zero_inflated,pct_flc_z,% farm labor contractor (z),-0.15060691179,0.85134477771,-0.17690472266,0.85958322899,,,0.8601857610917693
viol_2019,2019,violations,M1,nbinom2,,conditional,(Intercept),Intercept,1.5443041353,0.25481869007,6.0604037122,1.357803145e-09,***,,
viol_2019,2019,violations,M1,nbinom2,,conditional,log_inspections,log Inspections,0.23369572326,0.06590163345,3.5461294512,0.00039093411394,***,1.2632600530720794,
viol_2019,2019,violations,M1,nbinom2,,conditional,time,time,0.25067972739,0.052672439228,4.7592200221,1.9434249682e-06,***,1.2848985006288387,
viol_2019,2019,violations,M1,nbinom2,,conditional,time2,time²,-0.051946858928,0.033654348832,-1.5435407527,0.12269962759,,0.9493793165370177,
viol_2019,2019,violations,M1,nbinom2,,conditional,time3,time³,-0.012768783501,0.0053405919299,-2.3908929326,0.016807453461,*,0.9873123915455259,
viol_2019,2019,violations,M2,nbinom2,,conditional,(Intercept),Intercept,1.6858396631,0.25309428104,6.6609156724,2.7212675712e-11,***,,
viol_2019,2019,violations,M2,nbinom2,,conditional,log_inspections,log Inspections,0.18655379565,0.065413229766,2.8519276043,0.0043454996244,**,1.2050894489121924,
viol_2019,2019,violations,M2,nbinom2,,conditional,time,time,0.24359779857,0.052380602646,4.6505344777,3.3107588905e-06,***,1.2758310861952726,
viol_2019,2019,violations,M2,nbinom2,,conditional,time2,time²,-0.053828730786,0.033452108562,-1.6091281865,0.1075883151,,0.9475943863503716,
viol_2019,2019,violations,M2,nbinom2,,conditional,time3,time³,-0.012844703052,0.0053093949501,-2.4192404544,0.015552955401,*,0.9872374380773158,
viol_2019,2019,violations,M2,nbinom2,,conditional,SPEND_APP_z,STAG $ per applicator (z),-0.31095808381,0.12290182732,-2.5301339337,0.011401899366,*,0.7327445890870551,
viol_2019,2019,violations,M2,nbinom2,,conditional,SPEND_WORK_z,STAG $ per farmworker (z),-0.38785911951,0.16749405246,-2.3156590567,0.020576891585,*,0.6785079250600922,
viol_2019,2019,violations,M2,nbinom2,,conditional,lii_2017_z,Labor intensity index 2017 (z),-0.18874096902,0.18090064232,-1.0433405133,0.29679061386,,0.8280009568182073,
viol_2019,2019,violations,M3,nbinom2,,conditional,(Intercept),Intercept,1.646777759,0.24376834564,6.7555028717,1.4234068854e-11,***,,
viol_2019,2019,violations,M3,nbinom2,,conditional,log_inspections,log Inspections,0.19423705022,0.064322784222,3.0197239216,0.0025300519236,**,1.2143841188616435,
viol_2019,2019,violations,M3,nbinom2,,conditional,time,time,0.24366252277,0.052801059869,4.6147278742,3.9361070118e-06,***,1.2759136660140893,
viol_2019,2019,violations,M3,nbinom2,,conditional,time2,time²,-0.053584362944,0.033507832082,-1.5991593492,0.10978520024,,0.9478259762410638,
viol_2019,2019,violations,M3,nbinom2,,conditional,time3,time³,-0.012799336494,0.0053217013362,-2.4051211606,0.016167104695,*,0.9872822266577542,
viol_2019,2019,violations,M3,nbinom2,,conditional,SPEND_APP_z,STAG $ per applicator (z),-0.19123669208,0.11875843331,-1.6102998899,0.10733240327,,0.825937072249994,
viol_2019,2019,violations,M3,nbinom2,,conditional,SPEND_WORK_z,STAG $ per farmworker (z),-0.38345716096,0.15202708827,-2.5222949761,0.011659189362,*,0.6815012722836897,
viol_2019,2019,violations,M3,nbinom2,,conditional,lii_2017_z,Labor intensity index 2017 (z),-0.11364766662,0.16256898779,-0.69907347131,0.4845061165,,0.8925723835322619,
viol_2019,2019,violations,M3,nbinom2,,conditional,h2a_per_farmworker_z,H-2A per farmworker (z),0.0017843299165,0.077857719243,0.022917829264,0.98171581843,,1.0017859227803827,
viol_2019,2019,violations,M3,nbinom2,,conditional,dol_demand_met_pct_z,DOL demand met % (z),0.11164520315,0.13404808296,0.83287429916,0.4049156258,,1.1181160861967283,
viol_2019,2019,violations,M3,nbinom2,,conditional,pct_flc_z,% farm labor contractor (z),0.43413125074,0.12320797931,3.5235644083,0.00042578359734,***,1.5436214562796895,
viol_2021,2021,violations,M1,zinb2_re,mirror,conditional,(Intercept),Intercept,0.3511521565,0.27205723758,1.2907289643,0.1967976774,,,
