state,year,time,time2,time3,violations,inspections,log_violations,log_inspections,covid,SPEND_APP_z,SPEND_WORK_z,lii_2017_z,dol_demand_met_pct_z,pct_flc_z,h2a_per_farmworker_z
Delaware,2016,-1,1,-1,7.0,12.0,2.0794415416798357,2.5649493574615367,0.0,0.5919558275927509,0.805230017524276,-0.30420030108342955,-0.7497800935986298,2.0833741497211307,0.0263687837438138
Delaware,2017,0,0,0,7.0,11.0,2.0794415416798357,2.4849066497880004,0.0,0.5919558275927509,0.805230017524276,-0.30420030108342955,-0.7497800935986298,2.0833741497211307,0.0914591866434996
Delaware,2018,1,1,1,12.0,10.0,2.5649493574615367,2.3978952727983707,0.0,0.5919558275927509,0.805230017524276,-0.30420030108342955,-0.7497800935986298,2.0833741497211307,-0.1608445322315612
Delaware,2019,2,4,8,14.0,10.0,2.70805020110221,2.3978952727983707,0.0,0.5919558275927509,0.805230017524276,-0.30420030108342955,-0.7497800935986298,2.0833741497211307,0.6010502483792696
Delaware,2020,3,9,27,2.0,1.0,1.0986122886681098,0.6931471805599453,1.0,0.5919558275927509,0.805230017524276,-0.30420030108342955,-0.7497800935986298,2.0833741497211307,0.1313385179975325
Delaware,2021,4,16,64,4.0,10.0,1.6094379124341003,2.3978952727983707,1.0,0.5919558275927509,0.805230017524276,-0.30420030108342955,-0.7497800935986298,2.0833741497211307,0.5532037818614589
Florida,2011,-6,36,-216,120.0,778.0,4.795790545596741,6.658011045870748,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,-0.6385787921223963
Florida,2012,-5,25,-125,149.0,808.0,5.0106352940962555,6.695798917058491,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,-0.6289970183915641
Florida,2013,-4,16,-64,226.0,875.0,5.424950017481403,6.775366090936392,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,-0.5867510727288344
Florida,2014,-3,9,-27,149.0,733.0,5.0106352940962555,6.598509028614515,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,-0.511000191378642
Florida,2015,-2,4,-8,158.0,795.0,5.0689042022202315,6.679599185844383,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,-0.4229105023460314
Florida,2016,-1,1,-1,81.0,598.0,4.406719247264253,6.395261598115449,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,-0.316143323377255
Florida,2017,0,0,0,158.0,645.0,5.0689042022202315,6.470799503782602,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,-0.2722050284538543
Florida,2018,1,1,1,90.0,676.0,4.51085950651685,6.517671272912275,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,-0.0642252482498352
Florida,2019,2,4,8,127.0,700.0,4.852030263919617,6.55250788703459,0.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,0.0417216594518897
Florida,2020,3,9,27,223.0,642.0,5.4116460518550396,6.466144724237619,1.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,0.2479975232993133
Florida,2021,4,16,64,256.0,733.0,5.54907608489522,6.598509028614515,1.0,-0.7483375425482962,-0.5846655945483628,-0.4517781928622717,0.030307717841606935,1.2060648758769343,0.3909267342897493
Georgia,2011,-6,36,-216,46.0,146.0,3.8501476017100584,4.990432586778736,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,-0.0617336121938604
Georgia,2012,-5,25,-125,27.0,96.0,3.332204510175204,4.574710978503383,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,-0.1685831018835724
Georgia,2013,-4,16,-64,32.0,98.0,3.4965075614664802,4.59511985013459,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,-0.1123073891945778
Georgia,2014,-3,9,-27,14.0,82.0,2.70805020110221,4.418840607796598,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,-0.0164136406972942
Georgia,2015,-2,4,-8,23.0,86.0,3.1780538303479458,4.465908118654584,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,0.3580210330625614
Georgia,2016,-1,1,-1,17.0,66.0,2.8903717578961645,4.204692619390966,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,0.4364310203338326
Georgia,2017,0,0,0,20.0,77.0,3.044522437723423,4.356708826689592,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,0.8144017416071713
Georgia,2018,1,1,1,7.0,37.0,2.0794415416798357,3.6375861597263857,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,1.5328907426882326
Georgia,2019,2,4,8,18.0,21.0,2.9444389791664403,3.091042453358316,0.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,1.5602714943305416
Georgia,2020,3,9,27,5.0,10.0,1.791759469228055,2.3978952727983707,1.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,1.7091022725913176
Georgia,2021,4,16,64,0.0,23.0,0.0,3.1780538303479458,1.0,-0.723182138415523,-0.5720359957209937,-0.12222106717528743,-0.48104170879625574,1.783805129384088,2.134609928428899
Hawaii,2011,-6,36,-216,3.0,20.0,1.3862943611198906,3.044522437723423,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.6029912386594866
Hawaii,2012,-5,25,-125,12.0,45.0,2.5649493574615367,3.828641396489095,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.6663972216640083
Hawaii,2013,-4,16,-64,2.0,14.0,1.0986122886681098,2.70805020110221,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.674850787618999
Hawaii,2014,-3,9,-27,0.0,10.0,0.0,2.3978952727983707,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.6828415779913547
Hawaii,2015,-2,4,-8,7.0,19.0,2.0794415416798357,2.995732273553991,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.6757703697252395
Hawaii,2016,-1,1,-1,28.0,21.0,3.367295829986474,3.091042453358316,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.6662800893007303
Hawaii,2017,0,0,0,16.0,31.0,2.833213344056216,3.4657359027997265,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.638836798566215
Hawaii,2018,1,1,1,18.0,24.0,2.9444389791664403,3.2188758248682006,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.6308590613439022
Hawaii,2019,2,4,8,36.0,30.0,3.6109179126442243,3.4339872044851463,0.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.6138674199378591
Hawaii,2020,3,9,27,12.0,10.0,2.5649493574615367,2.3978952727983707,1.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.651579849274745
