state,year,spending_nominal
Ohio,2014,18125280.0
Ohio,2015,14400790.0
Ohio,2016,534515.0
Ohio,2017,1469904.0
Ohio,2018,272148.0
Ohio,2019,787853.0
Oklahoma,2011,5756005.0
Oklahoma,2012,6109416.0
Oklahoma,2013,6845534.0
Oklahoma,2014,8239380.0
Oklahoma,2015,6939230.0
Oklahoma,2016,6546136.0
Oklahoma,2017,6982944.0
Oklahoma,2018,9426281.0
Oklahoma,2019,7287595.0
Oregon,2011,11359422.0
Oregon,2012,17437398.0
Oregon,2013,9447873.0
Oregon,2014,10330245.0
Oregon,2015,16245706.0
Oregon,2016,10203021.0
Oregon,2017,12737452.0
Oregon,2018,11147522.0
Oregon,2019,13343053.0
Pennsylvania,2011,2291006.0
Pennsylvania,2012,3381254.0
Pennsylvania,2013,6638467.0
Pennsylvania,2014,1602500.0
Pennsylvania,2015,664983.0
Pennsylvania,2016,5334528.0
Pennsylvania,2017,2255379.0
Pennsylvania,2018,3414000.0
Pennsylvania,2019,2583684.0
Rhode Island,2011,6105101.0
Rhode Island,2012,5081658.0
Rhode Island,2013,5238768.0
Rhode Island,2014,5322310.0
Rhode Island,2015,5200537.0
Rhode Island,2016,5796992.0
Rhode Island,2017,5315318.0
Rhode Island,2018,6122808.0
Rhode Island,2019,5006485.0
South Carolina,2011,8096874.0
South Carolina,2012,8366152.0
South Carolina,2013,10081454.0
South Carolina,2014,7663188.0
South Carolina,2015,7914780.0
South Carolina,2016,7631661.0
South Carolina,2017,7460825.0
South Carolina,2018,10568845.0
South Carolina,2019,7189474.0
South Dakota,2011,6096802.0
South Dakota,2012,6331942.0
South Dakota,2013,7408449.0
South Dakota,2014,6955795.0
South Dakota,2015,6989731.0
South Dakota,2016,7486721.0
South Dakota,2017,6154712.0
South Dakota,2018,7547520.0
South Dakota,2019,6283153.0
Tennessee,2011,695732.0
Tennessee,2012,1068459.0
Tennessee,2013,702711.0
Tennessee,2014,3867246.0
Tennessee,2015,1345856.0
Tennessee,2016,5348256.0
Tennessee,2017,8674530.0
Tennessee,2018,4424505.0
Tennessee,2019,7749064.0
Texas,2011,37607028.0
Texas,2012,29228850.0
Texas,2013,30518562.0
Texas,2014,32689356.0
Texas,2015,41705143.0
Texas,2016,30606634.0
Texas,2017,29974283.0
Texas,2018,33277440.0
Texas,2019,31290756.0
Utah,2011,8960661.0
Utah,2012,8226638.0
Utah,2013,9325821.0
Utah,2014,7230695.0
Utah,2015,8096584.0
Utah,2016,10156681.0
Utah,2017,6780382.0
Utah,2018,9261058.0
Utah,2019,6836278.0
Vermont,2011,5054222.0
Vermont,2012,5301945.0
Vermont,2013,4491179.0
Vermont,2014,4891120.0
Vermont,2015,4880561.0
Vermont,2016,5925196.0
Vermont,2017,4812162.0
Vermont,2018,5586583.0
Vermont,2019,4291702.0
Virginia,2011,13698684.0
Virginia,2012,13584138.0
Virginia,2013,9113316.0
Virginia,2014,11275162.0
Virginia,2015,7931781.0
Virginia,2016,12556403.0
Virginia,2017,5392178.0
Virginia,2018,11055937.0
Virginia,2019,11271028.0
Washington,2011,26233658.0
Washington,2012,27297820.0
Washington,2013,16968197.0
Washington,2014,27235465.0
Washington,2015,17325755.0
Washington,2016,21906001.0
Washington,2017,21618845.0
Washington,2018,18004754.0
Washington,2019,18167408.0
West Virginia,2011,696490.0
West Virginia,2012,378054.0
West Virginia,2013,360726.0
West Virginia,2014,337700.0
West Virginia,2015,335862.0
West Virginia,2016,416705.0
West Virginia,2017,327750.0
West Virginia,2018,327750.0
West Virginia,2019,576152.0
Wisconsin,2011,13008190.0
Wisconsin,2012,10696467.0
Wisconsin,2013,12551536.0
Wisconsin,2014,13346104.0
Wisconsin,2015,11419686.0
Wisconsin,2016,13064996.0
Wisconsin,2017,12766023.0
Wisconsin,2018,13986686.0
Wisconsin,2019,20094144.0
Wyoming,2011,4009454.0
Wyoming,2012,3461075.0
Wyoming,2013,4523100.0
Wyoming,2014,3698593.0
Wyoming,2015,3117600.0
Wyoming,2016,3819761.0
Wyoming,2017,2808182.0
Wyoming,2018,3986485.0
Wyoming,2019,3834408.0
